Version	Level	Item (x5)					
1.3.2		Mask (Digital Analog Convertor)(PR Semiconductor)			x	x	x
				x			
							
						x	
							
1.3.2		Mask (Digital Analog Convertor)(PR Dielectric)			x	x	x
			x	x	x		
				x		x	
					x	x	x
						x	
1.3.2		Mask (Digital Analog Convertor)(PR Traces)			x	x	x
			x	x	x	x	x
							
			x	x	x	x	x
							
1.3.2		Mask (Digital Analog Convertor)(PR Encapsulation)			x	x	x
			x				
							
			x				
				x		x	
1.3.2		Mask (Amplifier)(PR Backplane)		x			
				x		x	
				x		x	
				x		x	
				x		x	
1.3.2		Mask (Amplifier)(PR Semiconductor)		x			
				x			
							
						x	
							
1.3.2		Mask (Amplifier)(PR Dielectric)		x			
			x	x	x		
				x		x	
					x	x	x
						x	
1.3.2		Mask (Amplifier)(PR Traces)		x			
			x	x	x	x	x
							
			x	x	x	x	x
							
1.3.2		Mask (Amplifier)(PR Encapsulation)		x			
			x				
							
			x				
				x		x	
1.3.2		Mask (OLED Array)(PR Backplane)		x			x
				x		x	
				x		x	
				x		x	
				x		x	
1.3.2		Mask (OLED Array)(PR Semiconductor)		x			x
				x			
							
						x	
							
1.3.2		Mask (OLED Array)(PR Dielectric)		x			x
			x	x	x		
				x		x	
					x	x	x
						x	
1.3.2		Mask (OLED Array)(PR Traces)		x			x
			x	x	x	x	x
							
			x	x	x	x	x
							
1.3.2		Mask (OLED Array)(PR Encapsulation)		x			x
			x				
							
			x				
				x		x	
