Item (MC)							
0	0	0	0	425	1A9		(unused)
0	0	0	0	426	1AA		(unused)
0	0	0	0	427	1AB		(unused)
0	0	0	0	428	1AC		(unused)
0	0	0	0	429	1AD		(unused)
0	0	0	0	430	1AE		(unused)
0	0	0	0	431	1AF		(unused)
Record 13	record 13	record 13	record_13	2256	8D0	minecraft:record_13	13 Disc
Record Cat	record cat	record cat	record_cat	2257	8D1	minecraft:record_cat	cat Disc
Record Blocks	record blocks	record blocks	record_blocks	2258	8D2	minecraft:record_blocks	blocks Disc
Record Chirp	record chirp	record chirp	record_chirp	2259	8D3	minecraft:record_chirp	chirp Disc
Record Far	record far	record far	record_far	2260	8D4	minecraft:record_far	far Disc
Record Mall	record mall	record mall	record_mall	2261	8D5	minecraft:record_mall	mall Disc
Record Mellohi	record mellohi	record mellohi	record_mellohi	2262	8D6	minecraft:record_mellohi	mellohi Disc
Record Stal	record stal	record stal	record_stal	2263	8D7	minecraft:record_stal	stal Disc
Record Strad	record strad	record strad	record_strad	2264	8D8	minecraft:record_strad	strad Disc
Record Ward	record ward	record ward	record_ward	2265	8D9	minecraft:record_ward	ward Disc
Record 11	record 11	record 11	record_11	2266	8DA	minecraft:record_11	11 Disc
Record Wait	record wait	record wait	record_wait	2267	8DB	minecraft:record_wait	wait Disc
0	0	0	0	2268	8DC		(unused)
0	0	0	0	2269	8DD		(unused)
0	0	0	0	2270	8DE		(unused)
0	0	0	0	2271	8DF		(unused)
