Version	Game ID S	Game ID M	Game ID L	Game ID XL	Bag (Pellets)	Sack (Pellets)	Powder Keg (Pellets)	Chemical Silo (Pellets)	Pellets	Crafting Min Index	Crafting Max Index	Short Name	Thermoplastic
1.0.0	A2	BS	DI	Fy	Bag (PolyEtherImide Pellets)	Sack (PolyEtherImide Pellets)	Powder Keg (PolyEtherImide Pellets)	Chemical Silo (PolyEtherImide Pellets)	PolyEtherImide	1	10	PEI	TRUE
	A3	BT	DJ	Fz	Bag (PolyEthyl Acrylate Pellets)	Sack (PolyEthyl Acrylate Pellets)	Powder Keg (PolyEthyl Acrylate Pellets)	Chemical Silo (PolyEthyl Acrylate Pellets)	PolyEthyl Acrylate	1	10	PEA	TRUE
	A4	BU	DK	FA	Bag (PolyEthylene Adipate Pellets)	Sack (PolyEthylene Adipate Pellets)	Powder Keg (PolyEthylene Adipate Pellets)	Chemical Silo (PolyEthylene Adipate Pellets)	PolyEthylene Adipate	1	10	PEA	TRUE
1.0.0	A5	BV	DL	FB	Bag (PolyEthylene Glycol Pellets)	Sack (PolyEthylene Glycol Pellets)	Powder Keg (PolyEthylene Glycol Pellets)	Chemical Silo (PolyEthylene Glycol Pellets)	PolyEthylene Glycol	1	10	PEG	TRUE
	A6	BW	DM	FC	Bag (PolyEthylene Hexamethylene Dicarbamate Pellets)	Sack (PolyEthylene Hexamethylene Dicarbamate Pellets)	Powder Keg (PolyEthylene Hexamethylene Dicarbamate Pellets)	Chemical Silo (PolyEthylene Hexamethylene Dicarbamate Pellets)	PolyEthylene Hexamethylene Dicarbamate	1	10	PEHD	TRUE
1.0.0	A7	BX	DN	FD	Bag (PolyEthylene Naphthalate Pellets)	Sack (PolyEthylene Naphthalate Pellets)	Powder Keg (PolyEthylene Naphthalate Pellets)	Chemical Silo (PolyEthylene Naphthalate Pellets)	PolyEthylene Naphthalate	1	10	PEN	TRUE
1.0.0	A8	BY	DO	FE	Bag (PolyEthylene Oxide Pellets)	Sack (PolyEthylene Oxide Pellets)	Powder Keg (PolyEthylene Oxide Pellets)	Chemical Silo (PolyEthylene Oxide Pellets)	PolyEthylene Oxide	1	10	PEO	TRUE
	A9	BZ	DP	FF	Bag (PolyEthylene Sulphide Pellets)	Sack (PolyEthylene Sulphide Pellets)	Powder Keg (PolyEthylene Sulphide Pellets)	Chemical Silo (PolyEthylene Sulphide Pellets)	PolyEthylene Sulphide	1	10	PES	TRUE
1.0.0	Aa	C0	DQ	FG	Bag (PolyEthylene Terephthalate Pellets)	Sack (PolyEthylene Terephthalate Pellets)	Powder Keg (PolyEthylene Terephthalate Pellets)	Chemical Silo (PolyEthylene Terephthalate Pellets)	PolyEthylene Terephthalate	1	10	PET	TRUE
1.0.0	Ab	C1	DR	FH	Bag (PolyEthylene Terephthalate Glycol-Modified Pellets)	Sack (PolyEthylene Terephthalate Glycol-Modified Pellets)	Powder Keg (PolyEthylene Terephthalate Glycol-Modified Pellets)	Chemical Silo (PolyEthylene Terephthalate Glycol-Modified Pellets)	PolyEthylene Terephthalate Glycol-Modified	1	10	PETG	TRUE
1.0.0	Ac	C2	DS	FI	Bag (PolyGlycolic Acid Pellets)	Sack (PolyGlycolic Acid Pellets)	Powder Keg (PolyGlycolic Acid Pellets)	Chemical Silo (PolyGlycolic Acid Pellets)	PolyGlycolic Acid	1	10	PGA	TRUE
1.1.0	Ad	C3	DT	FJ	Bag (PolyHexamethylene Adipamide Pellets)	Sack (PolyHexamethylene Adipamide Pellets)	Powder Keg (PolyHexamethylene Adipamide Pellets)	Chemical Silo (PolyHexamethylene Adipamide Pellets)	PolyHexamethylene Adipamide	1	10	"Nylon 6,7"	TRUE
1.1.0	Ae	C4	DU	FK	Bag (PolyHexamethylene Sebacamide Pellets)	Sack (PolyHexamethylene Sebacamide Pellets)	Powder Keg (PolyHexamethylene Sebacamide Pellets)	Chemical Silo (PolyHexamethylene Sebacamide Pellets)	PolyHexamethylene Sebacamide	1	10	"Nylon 6,11"	TRUE
1.0.0	Af	C5	DV	FL	Bag (PolyHydroxyalkanoate Pellets)	Sack (PolyHydroxyalkanoate Pellets)	Powder Keg (PolyHydroxyalkanoate Pellets)	Chemical Silo (PolyHydroxyalkanoate Pellets)	PolyHydroxyalkanoate	1	10	PHA	TRUE
	Ag	C6	DW	FM	Bag (PolyHydroxybutyrate-Co-Hydroxyvalerate Pellets)	Sack (PolyHydroxybutyrate-Co-Hydroxyvalerate Pellets)	Powder Keg (PolyHydroxybutyrate-Co-Hydroxyvalerate Pellets)	Chemical Silo (PolyHydroxybutyrate-Co-Hydroxyvalerate Pellets)	PolyHydroxybutyrate-Co-Hydroxyvalerate	1	10	PHBV	TRUE
1.0.0	Ah	C7	DX	FN	Bag (PolyImide Pellets)	Sack (PolyImide Pellets)	Powder Keg (PolyImide Pellets)	Chemical Silo (PolyImide Pellets)	PolyImide	1	10	PI	TRUE
	Ai	C8	DY	FO	Bag (PolyIsoBorynl Acrylate Pellets)	Sack (PolyIsoBorynl Acrylate Pellets)	Powder Keg (PolyIsoBorynl Acrylate Pellets)	Chemical Silo (PolyIsoBorynl Acrylate Pellets)	PolyIsoBorynl Acrylate	1	10	PIBOA	TRUE
	Aj	C9	DZ	FP	Bag (PolyIsoButyl Acrylate Pellets)	Sack (PolyIsoButyl Acrylate Pellets)	Powder Keg (PolyIsoButyl Acrylate Pellets)	Chemical Silo (PolyIsoButyl Acrylate Pellets)	PolyIsoButyl Acrylate	1	10	PIBA	TRUE
1.0.0	Ak	Ca	E0	FQ	Bag (PolyIsoButylene Pellets)	Sack (PolyIsoButylene Pellets)	Powder Keg (PolyIsoButylene Pellets)	Chemical Silo (PolyIsoButylene Pellets)	PolyIsoButylene	1	10	PIB	TRUE
1.0.0	Al	Cb	E1	FR	Bag (PolyIsoPrene Pellets)	Sack (PolyIsoPrene Pellets)	Powder Keg (PolyIsoPrene Pellets)	Chemical Silo (PolyIsoPrene Pellets)	PolyIsoPrene	1	10	Natural Rubber	TRUE
1.0.0	Am	Cc	E2	FS	Bag (PolyLactic Acid Pellets)	Sack (PolyLactic Acid Pellets)	Powder Keg (PolyLactic Acid Pellets)	Chemical Silo (PolyLactic Acid Pellets)	PolyLactic Acid	1	10	PLA	TRUE
	An	Cd	E3	FT	Bag (PolyLactic-Co-Glycolic Acid Pellets)	Sack (PolyLactic-Co-Glycolic Acid Pellets)	Powder Keg (PolyLactic-Co-Glycolic Acid Pellets)	Chemical Silo (PolyLactic-Co-Glycolic Acid Pellets)	PolyLactic-Co-Glycolic Acid	1	10	PLGA	TRUE
	Ao	Ce	E4	FU	Bag (PolyMethyl Acrylate Pellets)	Sack (PolyMethyl Acrylate Pellets)	Powder Keg (PolyMethyl Acrylate Pellets)	Chemical Silo (PolyMethyl Acrylate Pellets)	PolyMethyl Acrylate	1	10	PMA	TRUE
	Ap	Cf	E5	FV	Bag (PolyMethyl Cyanoacrylate Pellets)	Sack (PolyMethyl Cyanoacrylate Pellets)	Powder Keg (PolyMethyl Cyanoacrylate Pellets)	Chemical Silo (PolyMethyl Cyanoacrylate Pellets)	PolyMethyl Cyanoacrylate	1	10	PMCA	TRUE
	Aq	Cg	E6	FW	Bag (PolyMethyl Methacrylate Pellets)	Sack (PolyMethyl Methacrylate Pellets)	Powder Keg (PolyMethyl Methacrylate Pellets)	Chemical Silo (PolyMethyl Methacrylate Pellets)	PolyMethyl Methacrylate	1	10	PMMA	TRUE
	Ar	Ch	E7	FX	Bag (PolyM-Methyl Styrene Pellets)	Sack (PolyM-Methyl Styrene Pellets)	Powder Keg (PolyM-Methyl Styrene Pellets)	Chemical Silo (PolyM-Methyl Styrene Pellets)	PolyM-Methyl Styrene	1	10	PMMS	TRUE
	As	Ci	E8	FY	Bag (PolyM-Phenylene Isophthalamide Pellets)	Sack (PolyM-Phenylene Isophthalamide Pellets)	Powder Keg (PolyM-Phenylene Isophthalamide Pellets)	Chemical Silo (PolyM-Phenylene Isophthalamide Pellets)	PolyM-Phenylene Isophthalamide	1	10	PMIA	TRUE
	At	Cj	E9	FZ	Bag (PolyN-Butyl Acrylate Pellets)	Sack (PolyN-Butyl Acrylate Pellets)	Powder Keg (PolyN-Butyl Acrylate Pellets)	Chemical Silo (PolyN-Butyl Acrylate Pellets)	PolyN-Butyl Acrylate	1	10	PNBA	TRUE
1.0.0	Au	Ck	Ea	G0	Bag (PolyOxymethylene Pellets)	Sack (PolyOxymethylene Pellets)	Powder Keg (PolyOxymethylene Pellets)	Chemical Silo (PolyOxymethylene Pellets)	PolyOxymethylene	1	10	POM	TRUE
	Av	Cl	Eb	G1	Bag (PolyPentamethylene Hexamethylene Dicarbamate Pellets)	Sack (PolyPentamethylene Hexamethylene Dicarbamate Pellets)	Powder Keg (PolyPentamethylene Hexamethylene Dicarbamate Pellets)	Chemical Silo (PolyPentamethylene Hexamethylene Dicarbamate Pellets)	PolyPentamethylene Hexamethylene Dicarbamate	1	10	PPHD	TRUE
	Aw	Cm	Ec	G2	Bag (PolyPhenol Pellets)	Sack (PolyPhenol Pellets)	Powder Keg (PolyPhenol Pellets)	Chemical Silo (PolyPhenol Pellets)	PolyPhenol	1	10	Polyphenol	TRUE
	Ax	Cn	Ed	G3	Bag (PolyPhenylene Oxide Pellets)	Sack (PolyPhenylene Oxide Pellets)	Powder Keg (PolyPhenylene Oxide Pellets)	Chemical Silo (PolyPhenylene Oxide Pellets)	PolyPhenylene Oxide	1	10	PPO	TRUE
	Ay	Co	Ee	G4	Bag (PolyPhosphazene Pellets)	Sack (PolyPhosphazene Pellets)	Powder Keg (PolyPhosphazene Pellets)	Chemical Silo (PolyPhosphazene Pellets)	PolyPhosphazene	1	10	PPPHAZ	TRUE
	Az	Cp	Ef	G5	Bag (PolyP-Methyl Styrene Pellets)	Sack (PolyP-Methyl Styrene Pellets)	Powder Keg (PolyP-Methyl Styrene Pellets)	Chemical Silo (PolyP-Methyl Styrene Pellets)	PolyP-Methyl Styrene	1	10	PPMS	TRUE
	AA	Cq	Eg	G6	Bag (PolyP-Phenylene Sulphide Pellets)	Sack (PolyP-Phenylene Sulphide Pellets)	Powder Keg (PolyP-Phenylene Sulphide Pellets)	Chemical Silo (PolyP-Phenylene Sulphide Pellets)	PolyP-Phenylene Sulphide	1	10	PPS	TRUE
	AB	Cr	Eh	G7	Bag (PolyP-Phenylene Terephthalamide Pellets)	Sack (PolyP-Phenylene Terephthalamide Pellets)	Powder Keg (PolyP-Phenylene Terephthalamide Pellets)	Chemical Silo (PolyP-Phenylene Terephthalamide Pellets)	PolyP-Phenylene Terephthalamide	1	10	kevlar	TRUE
1.0.0	AC	Cs	Ei	G8	Bag (PolyPropylene Pellets)	Sack (PolyPropylene Pellets)	Powder Keg (PolyPropylene Pellets)	Chemical Silo (PolyPropylene Pellets)	PolyPropylene	1	10	PP	TRUE
	AD	Ct	Ej	G9	Bag (PolyPropylene Glycol Pellets)	Sack (PolyPropylene Glycol Pellets)	Powder Keg (PolyPropylene Glycol Pellets)	Chemical Silo (PolyPropylene Glycol Pellets)	PolyPropylene Glycol	1	10	PPG	TRUE
	AE	Cu	Ek	Ga	Bag (PolyPropylene Oxide Pellets)	Sack (PolyPropylene Oxide Pellets)	Powder Keg (PolyPropylene Oxide Pellets)	Chemical Silo (PolyPropylene Oxide Pellets)	PolyPropylene Oxide	1	10	PPOX	TRUE
1.0.0	AF	Cv	El	Gb	Bag (PolyStyrene Pellets)	Sack (PolyStyrene Pellets)	Powder Keg (PolyStyrene Pellets)	Chemical Silo (PolyStyrene Pellets)	PolyStyrene	1	10	PS	TRUE
	AG	Cw	Em	Gc	Bag (PolyTert-Butyl Acrylate Pellets)	Sack (PolyTert-Butyl Acrylate Pellets)	Powder Keg (PolyTert-Butyl Acrylate Pellets)	Chemical Silo (PolyTert-Butyl Acrylate Pellets)	PolyTert-Butyl Acrylate	1	10	PTBA	TRUE
1.0.0	AH	Cx	En	Gd	Bag (PolyTetraFluoroEthylene Pellets)	Sack (PolyTetraFluoroEthylene Pellets)	Powder Keg (PolyTetraFluoroEthylene Pellets)	Chemical Silo (PolyTetraFluoroEthylene Pellets)	PolyTetraFluoroEthylene	1	10	PTFE	TRUE
	AI	Cy	Eo	Ge	Bag (PolyTetramethylene Ether Glycol Pellets)	Sack (PolyTetramethylene Ether Glycol Pellets)	Powder Keg (PolyTetramethylene Ether Glycol Pellets)	Chemical Silo (PolyTetramethylene Ether Glycol Pellets)	PolyTetramethylene Ether Glycol	1	10	PTMEG	TRUE
	AJ	Cz	Ep	Gf	Bag (PolyTetramethylene Glycol Pellets)	Sack (PolyTetramethylene Glycol Pellets)	Powder Keg (PolyTetramethylene Glycol Pellets)	Chemical Silo (PolyTetramethylene Glycol Pellets)	PolyTetramethylene Glycol	1	10	PTMG	TRUE
	AK	CA	Eq	Gg	Bag (PolyThiazyl Pellets)	Sack (PolyThiazyl Pellets)	Powder Keg (PolyThiazyl Pellets)	Chemical Silo (PolyThiazyl Pellets)	PolyThiazyl	1	10	PTA	TRUE
1.0.0	AL	CB	Er	Gh	Bag (PolyTrimethylene Terephthalate Pellets)	Sack (PolyTrimethylene Terephthalate Pellets)	Powder Keg (PolyTrimethylene Terephthalate Pellets)	Chemical Silo (PolyTrimethylene Terephthalate Pellets)	PolyTrimethylene Terephthalate	1	10	PTT	TRUE
1.0.0	AM	CC	Es	Gi	Bag (PolyUrethane Pellets)	Sack (PolyUrethane Pellets)	Powder Keg (PolyUrethane Pellets)	Chemical Silo (PolyUrethane Pellets)	PolyUrethane	1	10	PU	TRUE
1.0.0	AN	CD	Et	Gj	Bag (PolyVinyl Acetate Pellets)	Sack (PolyVinyl Acetate Pellets)	Powder Keg (PolyVinyl Acetate Pellets)	Chemical Silo (PolyVinyl Acetate Pellets)	PolyVinyl Acetate	1	10	PVAC	TRUE
1.0.0	AO	CE	Eu	Gk	Bag (PolyVinyl Alcohol Pellets)	Sack (PolyVinyl Alcohol Pellets)	Powder Keg (PolyVinyl Alcohol Pellets)	Chemical Silo (PolyVinyl Alcohol Pellets)	PolyVinyl Alcohol	1	10	PVA	TRUE
	AP	CF	Ev	Gl	Bag (PolyVinyl Butyral Pellets)	Sack (PolyVinyl Butyral Pellets)	Powder Keg (PolyVinyl Butyral Pellets)	Chemical Silo (PolyVinyl Butyral Pellets)	PolyVinyl Butyral	1	10	PVB	TRUE
1.0.0	AQ	CG	Ew	Gm	Bag (PolyVinyl Chloride Pellets)	Sack (PolyVinyl Chloride Pellets)	Powder Keg (PolyVinyl Chloride Pellets)	Chemical Silo (PolyVinyl Chloride Pellets)	PolyVinyl Chloride	1	10	PVC	TRUE
