Version	Compound	Formula	State of Matter	First Release	Nicknames	Notes	Uses
1.0.0	Cellulose	(C6H10O5)n	Liquid		—		Processed cotton fiber is almost pure cellulose making many undyed clothing articles an excellent source of cellulose. 100% cotton paper is also a good source of this material.
1.0.0	Cellulose Acetate		Liquid				
1.0.0	Cellulose Nitrate		Liquid				
1.0.0	Chlorine Gas	Cl2	Liquid				
1.0.0	Chromium Oxide	Cr2O3	Liquid		Chrome Green		Used as a green pigment for fine art paints. It is available as a powder from most fine art supply stores.
1.0.0	Citric Acid	C6H8O7	Liquid		Sour Salt		Available at the grocery store as Sour Salt. Also used for home soap making and also in photographic development.
1.0.0	Coke		Liquid				Used when you refine coal
1.0.0	Copper Naphthenate	Cu(C11H10O2)2	Liquid		cupric naphthenate		Used as a wood preservative to protect lumber from termites, ants, and other burrowing insects. Brands including Wolman and Jasco are up to 25% copper naphthenate with the remainder composed of linseed oil and petroleum distillate-based solvents.
1.0.0	Copper Sulfate Pentahydrate	CuSO25H2O	Liquid		cupric sulfate, blue vitriol, bluestone		Hardware store; rootkiller (Zep Root Kill, Rooto Root Kill)
1.0.0	Copper Sulfate(Anhydrous)	CuSO4	Liquid		cupric sulfate(anhydrous)		Available from garden supply or pond supply stores as an algaecide and rootkiller.
1.0.0	Crude Oil	Complex	Liquid	TRUE	Oil, Black Gold, 		
1.0.0	Cyanide		Liquid				
1.0.0	Cyanuric Acid	C3H3N3O3	Liquid		isocyanuric acid		Available from swimming pool and lawn/yard supply stores as a chlorine stabilizer. A pure tablet form sells under the brand name Kem Tek.
1.0.0	Cyclohexane		Liquid				
1.0.0	Cyclohexane Dimethanol	C6H10(CH2OH)2	Liquid				
1.0.0	Cyclohexanone		Liquid				
1.0.0	Cyclohexylamine		Liquid				
1.0.0	Dextrose	C6H12O6	Liquid		glucose, corn syrup		Grocery; corn syrup, some throat lozenges are pure dextrose.
1.0.0	Diamine		Liquid				
1.0.0	Dibutoxyethane	CH3CH2CH2CH2OCH2CH2OCH2CH2CH2CH3	Liquid		Ethylene glycol dibutyl ether		
1.0.0	Dicarboxyllic Acid		Liquid				
1.0.0	Dichloromethane	CH2Cl2	Liquid		methylene chloride		Used as a solvent, degreaser and adhesive remover, it is available from hardware, automotive, and sometimes craft stores. Purity of commercial products can approach 90% with the remainder being composed of alcohols and petroleum distillates. Common brands include Champion Paint Off, many choke and valve cleaners, and Klean Strip Graffiti Remover.
1.0.0	Diesel		Liquid				
1.0.0	Diethoxyethane	CH3CH2OCH2CH2OCH2CH3	Liquid		Ethylene glycol diethyl ether		
1.0.0	Diethylene Glycol	(HOCH2CH2)2O	Liquid				
1.0.0	Dimethoxyethane	CH3OCH2CH2OCH3	Liquid		Ethylene glycol dimethyl ether		a higher boiling alternative to diethyl etherand THF, also used as a solvent for polysaccharides, a reagent in organometallic chemistry and in some electrolytes of lithium batteries
1.0.0	Dimethyl Sulfoxide	(CH3)2SO	Liquid		DMSO		Available from health food and naturopathic supply stores for treating injuries. Warning: DMSO will allow anything it has dissolved to pass directly through your skin into your bloodstream. Use gloves and skin protection when working with this chemical.
1.0.0	Dimethyl Terephthalate	C6H4(CO2CH3)2	Liquid				
1.0.0	Dioxane		Liquid				
1.0.0	Disodium Phosphate	Na2HPO4	Liquid		pH Down		Found at pet stores and used to lower the pH of aquarium water.
1.0.0	EDC		Liquid				
1.0.0	Ethane	C2H6	Gas				Saved for cracking into Ethylene
1.0.0	Ethanol	C2H3OH	Liquid				
1.0.0	Ethanol/Ethyl Alcohol	C2H5OH	Liquid		Everclear		Available as 95% pure ethanol and 5% water from liquor stores in most states. Also available in denaturedform from hardware stores. Grocery and drug stores may carry it as ethyl rubbing alcohol.
1.0.0	Ether	(C2H5)2O	Liquid		diethyl ether,ethoxyethane		Sold at auto supply stores in aerosol cans as Starter Fluid or Cold Start Spray. Used to help start damp or inefficient old engines.
1.0.0	Ethylbenzene		Liquid				
1.0.0	Ethylene	C2H4	Gas				
1.0.0	Ethylene Carbonate	C3H4O3	Liquid				
1.0.0	Ethylene Glycol	CH2OHCH2OH	Liquid		1,2-ethanediol		Some engine antifreezes are primarily ethylene glycol and can be obtained at an automotive supply store.
1.0.0	Ethylene Oxide	C2H4O	Liquid				
1.0.0	Ethylidene Diacetate	C6H10O4	Liquid		1,1-Diacetoxyethane, 1,1-Ethanediol diacetate		
1.0.0	Eugenol	CH2CH2CH2C6H3(OCH3)OH	Liquid		oil of clove, 2-methoxy-4-(2-propenyl)phenol		Available at most health food and natural healing stores as clove oil. Note that organically derived oil of clove will have numerous impurities from the distillation process. Synthetic oil of clove is generally pure but more difficult to find.
1.0.0	Ferric Chloride	FeCl3	Liquid		Etching Solution		Available in solution from Radio Shack and other electronics suppliers as an etching solution for circuit boards. Also available in solution from fine art supply stores.
1.0.0	Ferric Oxide(Iron III Oxide)	Fe2O3	Liquid		Rust		Common rust. Reddish in color. Can be scraped off of rusted iron objects or purchased in a purified form as the artists pigment Red Iron Oxide from fine art supply stores.
1.0.0	Ferrous Ferric Oxide (Iron II-III Oxide)	Fe3O4	Liquid		Magnetite		Used as the artists pigment Mars Black and can be purchased from fine art supply stores.
1.0.0	Formaldehyde		Liquid				
1.0.0	Formic Acid	CH2O2	Liquid		methanoic acid		Available in some stain removers at the hardware store. A fairly pure 5% concentration can be obtained from the blue chamber of Clorox Dual Action Toilet Bowl Cleanser.
1.0.0	Fructose	C6H12O6	Liquid		Fruit Sugar		Easily available from most grocery stores.
1.0.0	Gas Oil	Complex	Liquid				
1.0.0	Glucose	C6H12O6	Liquid		Dextrose, corn syrup		Grocery; corn syrup. Some throat lozenges are pure dextrose.
1.0.0	Glycerol	C3H8O3	Liquid		1,2,3-propanetriol		Glycerin is an emollient used to soften skin by delaying the evaporation of water. It is available at most drug stores.
1.0.0	Glycolic Acid		Liquid				
1.0.0	Gum Arabic	CH4O3S	Liquid		gum acacia		Available at arts & crafts stores and at fine art supply stores as a binder for turning pigments into paints. In solution with water.
1.0.0	Heavy Naphtha	Complex	Liquid	TRUE			
	Helium Gas	He2	Liquid		—		Helium can be obtained from party stores or wherever helium balloons are available. Small disposable containers are available for long-term storage. Containers made by Worthington Industries are 99% pure helium. Note that balloon gas is a mixture of helium and normal air.
1.0.0	Hexamine	C6H12N4	Liquid		Hexamethylenetetramine		Sold as solid fuel tablets in camping and outdoor stores, in combination with 1,3,5-trioxane.
1.0.0	Hexane Isomers	C6H14	Liquid	TRUE			
1.0.0	High Octane Gasoline	8-16 carbon alkanes	Liquid				
1.0.0	Hydrochloric Acid	HCl	Liquid		Masonry Cleaner,Muriatic acid		Hardware store; used in swimming pool maintenance, as masonry cleaner and in silverware cleaner.
1.0.0	Hydrofluoric Acid	HF	Liquid		Glass Etching Solution		Hardware store; Aluminum brightener & tire cleaner
	Hydrogen Gas	H2	Gas		Hydrogen		Can be generated and captured from electrolysis of water and a wide variety of inorganic chemical reactions. Adding aluminium foil to a solution of Sodium Hydroxide will generate hydrogen gas. Highly flammable and explosive under pressure or in quantity.
1.0.0	Hydrogen Peroxide	H2O2	Liquid		Peroxide		Hydrogen peroxide antiseptic (3%)or even (6%) is available from the drug store. Clairoxide hair bleach by Clairol is much more concentrated (12%) and is available from beauty supply stores. Concentrations as high as 35% may be available at health food stores and natural medicine stores as a source of natural oxygen. Swimming pool and spa suppliers often carry concentrations as high as 27% but these usually contain preservatives/stabilizers. Note: Do not heat. Do not store in metal containers.
1.0.0	Hydroquinone	C6H6O2	Liquid		—		Photography store catering to the at-home darkroom crowd.
1.0.0	Hypochlorous Acid	HClO	Liquid		Laundry Bleach		Grocery store.
1.0.0	Iodine Gas	I2	Liquid		Iodide		Tincture of iodine, a topical antiseptic used for treating wounds, is a solution of iodine dissolved in ethyl alcohol. It is available at most drug stores. Available from camping stores as crystals for sterilizing water. Crystal Iodine can also be synthesized from Potassium Iodide as radiation pills, utilizing laboratory methods. Certain laboratory methods can be considerably hazardous. Iodine is illicitly used in the production of methamphetamine, making iodine somewhat difficult to obtain. In the United States, it is illegal to sell, purchase, transport, or possess iodine with the knowledge or intention of its use for producing methamphetamine. Small quantities, such as those used in chemistry experiments such as the Briggs–Rauscher reaction, are legal to obtain and require no permits nor record-keeping.[3]
1.0.0	Iron Sulfate	FeSO4	Liquid		Ferrous sulfate, Sulfate of iron, Copperas		Available from garden supply stores as a nutrient. Also available as a mordant for pigments from stores that carry dyeing and textile supplies.
1.0.0	IsoButane	C4H10	Liquid	TRUE			
1.0.0	IsoPentane	C5H12	Liquid	TRUE			
1.0.0	Isophthalic Acid	C6H4(CO2H)2	Liquid				
1.0.0	Kerosene	CnH2n+1(n=12–16)	Liquid		Aviation Fuel		Lamp oil or kerosene is sold in the paint departments of most hardware stores. Also available in larger quantities from gas stations in many parts of the country.
1.0.0	Lactic Acid	C3H6O3	Liquid		Milk Acid		Available from grocery stores and health food stores.
1.0.0	Latex	C3H6O3	Liquid		Liquid Latex Body Paint		Available from adult toy stores as a novelty item and from select hobby shops. Compositions vary in the amount of ammonia and fillers they contain. Also costume/magic shops, as liquid skin/liquid latex.
1.0.0	Lauryl Alcohol	CH3(CH2)10CH2OH	Liquid		Fatty Alcohol, Dodecanol		surfactants, lubricating oils,pharmaceuticals, in the formation of monolithic polymers and as a flavor enhancing food additive. In cosmetics, dodecanol is used as an emollient
1.0.0	Light Naphtha	Complex	Liquid	TRUE			
1.0.0	Light Naphthenes	Complex	Liquid	TRUE			
1.0.0	Light Olefins	Complex	Liquid	TRUE			
1.0.0	Light Parrafins	Complex	Liquid	TRUE			
1.0.0	Liquified Natural Gas	Complex	Liquid	TRUE	LNG		
1.0.0	Linseed Oil	—	Liquid		—		Used as a binder in paints and as a finish for wood. Available at hardware stores and fine art supply stores. Boiled linseed oil contains Lead Oxide (boiled with PbO), which speeds hardening (oxidizing) on contact with oxygen.
1.0.0	Magnesium Carbonate	MgCO3	Liquid		Athlete's chalk		Often sold as a powder in sporting goods stores for gymnastics, weightlifting, and climbing to help keep hands dry. Sometimes it is combined with calcium carbonate in this use. Available in tablet form as an antacid. Some antacids are pure while others are blended with calcium carbonate.
1.0.0	Magnesium Chloride	MgCl2	Liquid		Nigari or Lushui		Asian markets; Nigari, as it's called in Japan, or Lushui, as it's called in China. Used to make tofu from soy milk.
1.0.0	Magnesium Hydroxide	Mg(OH)2	Liquid		Milk of Magnesia		Milk of Magnesia is an antacid used to settle sour (acidic) stomachs. Some antacid tablets also contain magnesium hydroxide.
1.0.0	Magnesium Silicate	Mg3Si4O10(OH)2	Liquid		Talc		Talcum powder comes from talc, the softest of all minerals, and is used as a dusting powder for babies. It is available in the body care section of the drug store.
1.0.0	Magnesium Sulfate	MgSO47H2O	Liquid		Epsom Salt		Drug store; epsom salt is sold as a laxative or as an anti-inflammatory soak. Also available as a chemical for photographic development.
1.0.0	Manganese Dioxide	MnO2	Liquid		Pyrolusite		Hardware store; available as the black powder in unused alkaline or carbon-zinc batteries. By extensively washing this powder in distilled water you can remove the embedded Zinc Chloride solution.
1.0.0	Melamine		Liquid				
1.0.0	Melamine Formaldehyde		Liquid				
1.0.0	Mercaptans	Short Thiols	Liquid				
1.0.0	m-mercaptan	CH3SH	Liquid		Methanethiol		
1.0.0	e-mercaptan	C2H5SH	Liquid		Ethanethiol		
1.0.0	n-p mercaptan	C3H7SH	Liquid		1-Propanethiol		
1.0.0	2C3 mercaptan	CH3CH(SH)CH3	Liquid		2-Propanethiol		
1.0.0	n-butyl mercaptan	C4H9SH	Liquid		Butanethiol		
1.0.0	t-butyl mercaptan	C(CH3)3SH	Liquid		tert-Butyl mercaptan		
1.0.0	pentyl mercaptan	C5H11SH	Liquid		Pentanethiol		
1.0.0	Mercury (Liquid)	Hg	Liquid		quicksilver		Becoming difficult to find due to fears of toxicity and environmental contamination. Old mercury switches can be found in many thermostats. Old-style thermometers contain mercury. Fluorescent light tubes contain a small amount of mercury though it can be difficult to extract. Specialty occult stores may carry it as quicksilver. Ben-Wha balls at sex toy shops.
1.0.0	Meta-Xylene	C8H10	Liquid				
1.0.0	Methacrylic Acid	C4H6O2	Liquid		2-methylpropenoic acid		
1.0.0	Methyl Methacrylate		Liquid				
1.0.0	Methane	CH4	Gas		Natural Gas		Gas line in many homes.
1.0.0	Methanol	CH3OH	Liquid		Methyl Alcohol		Methanol is sold as a solvent in paint supply stores under the names wood alcohol or methyl alcohol. Available from automotive supply as a gasoline line anti-freeze.
1.0.0	Methyl Ethyl Ketone	CH3COC2H5	Liquid		MEK		Available from most hardware stores as a solvent.
1.0.0	Methyl Ethyl Ketone Peroxide	C8H16O4	Liquid		MEKP		Available in dilute solution from hardware and boating supply stores as a catalyst for the polymerization of polyester resins.
1.0.0	Methyl Isobutyl Ketone	CH3COCH2CH(CH3)2	Liquid		MIBK		Available from many hardware stores as a solvent.
1.0.0	Methyl Salicylate	C6H4(OH)COOCH3	Liquid		Oil of Wintergreen		Drug store
1.0.0	Methylene Blue	C16H18ClN3S	Liquid		Methidote		Methylene blue (Methidote antiseptic) is used to treat small injured fish and is available at pet stores.
1.0.0	Methylene Chloride	CH2Cl2	Liquid		dichloromethane		Used as a solvent, degreaser and adhesive remover, it is available from hardware, automotive, and sometimes craft stores. Purity of commercial products can approach 90% with the remainder being composed of alcohols and petroleum distillates. Common brands include Champion Paint Off, many choke and valve cleaners, and Klean Strip Graffiti Remover.
1.0.0	Mineral Oil	complex mixture of hydrocarbons	Liquid		—		Mineral oil is sold in drug stores as an emollient. Some baby oils are essentially mineral oil and fragrance.
1.0.0	Molasses		Liquid				
1.0.0	Monosodium Glutamate	C5H8NNaO4	Liquid		MSG		Widely used as a condiment in many parts of Asia. Can be purchased from Chinese or Japanese grocery stores. Also easily acquired in many supermarkets as a flavor enhancer.
1.0.0	N-Butane	C4H10	Liquid	TRUE			
1.0.0	N-Ethylidenecyclohexylamine		Liquid				
1.0.0	N-Hexane	C6H14	Liquid	TRUE			
1.0.0	N-Pentane	C5H12	Liquid	TRUE			
1.0.0	Naphtha	Complex	Liquid				
1.0.0	Naphthalene	C10H8	Liquid		moth balls		Hardware store, grocery store.
1.0.0	Naphthalenedicarboxylic Acid		Liquid				
1.0.0	Natural Gas		Gas				
1.0.0	NeoPentane	C5H12	Liquid	TRUE			
	Nitrogen Gas	N2	Gas		liquid nitrogen		Hospital, laboratory, university, welding supply house, and industrial gas supplier can all provide liquid or gaseous nitrogen.
1.0.0	Nitrous Oxide	N2O	Liquid		whipping gas,laughing gas		Whipped cream canisters from the grocery store. Or in larger canisters from commercial restaurant supply houses. When packaged for automotive use it is usually contaminated with hydrogen sulfide to discourage inhalation. Industrial (welding supply) Nitrous Oxide contains NO and NO2 (can be removed with moist steel wool)which makes Nitric acid in your lungs so use with good ventilation. (Heating Ammonium Nitrate generates an industrial grade of Nitrous Oxide at the risk of explosion.)
1.0.0	Olefins		Liquid				
1.0.0	Oleyl Alcohol	CH3(CH2)7-CH=CH-(CH2)8OH	Liquid		Fatty Alcohol, Oleyl alcohol, octadecenol, cis-9-octadecen-1-ol		surfactant, skin cream, moisturizer, shampoo
1.0.0	Ortho-Xylene		Liquid				
1.0.0	Oxalic Acid	C2H2O4	Liquid		rust remover, non-chlorine bleach powder cleanser		Grocery, drug, hardware stores. Bar Keeper's Friend.
	Oxygen Gas	O2	Gas		—		Portable welding oxygen tanks are available at welding shops and some hardware stores. Can be generated in small quantities from the electrolysisof water.
1.0.0	Para-Dichlorobenzene	C6H4Cl2	Liquid		moth flakes, moth crystals		Hardware or grocery store.
1.0.0	Para-Xylene		Liquid				
1.0.0	Paraffin	CnH2n+2 (n>19)	Liquid		—		Unless otherwise labeled, candle wax is made of paraffin. Some grocery stores sell paraffin as a sealant for home canning. Many arts and crafts stores sell paraffin for at-home candle makers. Vaseline brand is also paraffin, albeit with molecules that are slightly shorter.
1.0.0	Pentane Isomers	C5H12	Liquid	TRUE			Used as refrigerant, blowing agent for making styrofoam, working fluid in geothermal stations
1.0.0	Peracetic Acid		Liquid				
1.0.0	Phenol	C6H5OH	Liquid		—		Phenol can be found in small amounts (~1–2%) in analgesic sore throat spray.
1.0.0	Phenol Formaldehyde		Liquid				
1.0.0	Phenol Red	C19H19SO5	Liquid		phenolsulfonephthalein		Used as a pH tester for swimming pools. Available at swimming pool supply stores.
1.0.0	Phenolphthalein	C20H14O4	Liquid		—		Magic shops might carry it as a pinkish disappearing ink. Blue disappearing ink is not phenolphthalein but thymolphthalein. Difficult to find outside of chemical supply.
1.0.0	Phosgene		Liquid				
1.0.0	Phosphoric Acid	H3PO4	Liquid		pH Down		Some pH reducers (available at pet stores) used in fish tanks are simply dilute solutions (up to 30%) of phosphoric acid. Also available in gel form at hardware stores as a rust remover. Naval Jelly in a spray bottle at hardware stores. Also used as asolder flux.
