Version	Game ID	Fibers	Source	Version
1.0.8	H1	Fibers (MALD)	Sack (Metaldehyde Pellets)	MALD
1.0.8	H2	Fibers (NBR)	Sack (Nitrile-Butadiene Rubber Pellets)	NBR
1.0.8	H3	Fibers (PFA)	Sack (Paraformaldehyde Pellets)	PFA
1.0.8	H4	Fibers (PALD)	Sack (Paraldehyde Pellets)	PALD
1.0.8	H5	Fibers (phenol formaldehydes)	Sack (Phenolic Resin Pellets)	phenol formaldehydes
1.0.8	H6	Fibers (PHBV)	Sack (Poly(3-Hydroxybutyrate-Co-3-Hydroxyvalerate) Pellets)	PHBV
1.0.8	H7	Fibers (P1B)	Sack (Poly1-Butene Pellets)	P1B
1.0.8	H8	Fibers (PDPE)	"Sack (Poly2,6-Dimethyl-1,4-Phenylene Ether Pellets)"	PDPE
1.0.8	H9	Fibers (PHB)	Sack (Poly-2-Hydroxy Butyrate Pellets)	PHB
1.0.8	Ha	Fibers (PHEMA)	Sack (Poly2-Hydroxyethyl Methacrylate Pellets)	PHEMA
1.0.8	Hb	Fibers (PAE)	Sack (PolyAcrylic Ester Pellets)	PAE
1.0.8	Hc	Fibers (PAN)	Sack (PolyAcrylonitrile Pellets)	PAN
1.0.8	Hd	Fibers (PBD)	Sack (PolyButadiene Pellets)	PBD
1.0.8	He	Fibers (PBR)	Sack (PolyButadiene Rubber Pellets)	PBR
1.0.8	Hf	Fibers (PBS)	Sack (PolyButylene Succinate Pellets)	PBS
1.0.8	Hh	Fibers (PBT)	Sack (PolyButylene Terephthalate Pellets)	PBT
1.0.8	Hi	Fibers (PCL)	Sack (PolyCaprolactone Pellets)	PCL
1.0.8	Hj	Fibers (PC)	Sack (PolyCarbonate Pellets)	PC
1.0.8	Hk	Fibers (PCHL)	Sack (PolyChloroPrene Pellets)	PCHL
1.0.8	Hl	Fibers (PCTFE)	Sack (PolyChlorotrifluoroethylene Pellets)	PCTFE
1.0.8	Hm	Fibers (PDMS)	Sack (PolyDiMethylSiloxane Pellets)	PDMS
1.0.8	Hn	Fibers (PEEK)	Sack (PolyEther Ether Ketone Pellets)	PEEK
1.0.8	Ho	Fibers (PEI)	Sack (PolyEtherImide Pellets)	PEI
1.0.8	Hp	Fibers (PEA)	Sack (PolyEthyl Acrylate Pellets)	PEA
1.0.8	Hq	Fibers (PEA)	Sack (PolyEthylene Adipate Pellets)	PEA
1.0.8	Hr	Fibers (PEG)	Sack (PolyEthylene Glycol Pellets)	PEG
1.0.8	Hs	Fibers (PEHD)	Sack (PolyEthylene Hexamethylene Dicarbamate Pellets)	PEHD
1.0.8	Ht	Fibers (PEN)	Sack (PolyEthylene Naphthalate Pellets)	PEN
1.0.8	Hu	Fibers (PEO)	Sack (PolyEthylene Oxide Pellets)	PEO
1.0.8	Hv	Fibers (PES)	Sack (PolyEthylene Sulphide Pellets)	PES
1.0.8	Hw	Fibers (PET)	Sack (PolyEthylene Terephthalate Pellets)	PET
1.0.8	Hx	Fibers (PETG)	Sack (PolyEthylene Terephthalate Glycol-Modified Pellets)	PETG
1.0.8	Hy	Fibers (PGA)	Sack (PolyGlycolic Acid Pellets)	PGA
1.0.8	Hz	"Fibers (Nylon 6,7)"	Sack (PolyHexamethylene Adipamide Pellets)	"Nylon 6,7"
1.0.8	HA	"Fibers (Nylon 6,11)"	Sack (PolyHexamethylene Sebacamide Pellets)	"Nylon 6,11"
1.0.8	HB	Fibers (PHA)	Sack (PolyHydroxyalkanoate Pellets)	PHA
1.0.8	HC	Fibers (PHBV)	Sack (PolyHydroxybutyrate-Co-Hydroxyvalerate Pellets)	PHBV
1.0.8	HD	Fibers (PI)	Sack (PolyImide Pellets)	PI
1.0.8	HE	Fibers (PIBOA)	Sack (PolyIsoBorynl Acrylate Pellets)	PIBOA
1.0.8	HF	Fibers (PIBA)	Sack (PolyIsoButyl Acrylate Pellets)	PIBA
1.0.8	HG	Fibers (PIB)	Sack (PolyIsoButylene Pellets)	PIB
1.0.8	HH	Fibers (NR)	Sack (PolyIsoPrene Pellets)	NR
1.0.8	HI	Fibers (PLA)	Sack (PolyLactic Acid Pellets)	PLA
1.0.8	HJ	Fibers (PLGA)	Sack (PolyLactic-Co-Glycolic Acid Pellets)	PLGA
1.0.8	HK	Fibers (PMA)	Sack (PolyMethyl Acrylate Pellets)	PMA
1.0.8	HL	Fibers (PMCA)	Sack (PolyMethyl Cyanoacrylate Pellets)	PMCA
1.0.8	HM	Fibers (PMMA)	Sack (PolyMethyl Methacrylate Pellets)	PMMA
1.0.8	HN	Fibers (PMMS)	Sack (PolyM-Methyl Styrene Pellets)	PMMS
1.0.8	HO	Fibers (PMIA)	Sack (PolyM-Phenylene Isophthalamide Pellets)	PMIA
1.0.8	HP	Fibers (PNBA)	Sack (PolyN-Butyl Acrylate Pellets)	PNBA
1.0.8	HQ	Fibers (POM)	Sack (PolyOxymethylene Pellets)	POM
1.0.8	HR	Fibers (PPHD)	Sack (PolyPentamethylene Hexamethylene Dicarbamate Pellets)	PPHD
1.0.8	HS	Fibers (polyphenol)	Sack (PolyPhenol Pellets)	polyphenol
1.0.8	HT	Fibers (PPO)	Sack (PolyPhenylene Oxide Pellets)	PPO
1.0.8	HU	Fibers (PPPHAZ)	Sack (PolyPhosphazene Pellets)	PPPHAZ
1.0.8	HV	Fibers (PPMS)	Sack (PolyP-Methyl Styrene Pellets)	PPMS
1.0.8	HW	Fibers (PPS)	Sack (PolyP-Phenylene Sulphide Pellets)	PPS
1.0.8	HX	Fibers (PPTA)	Sack (PolyP-Phenylene Terephthalamide Pellets)	PPTA
1.0.8	HY	Fibers (PP)	Sack (PolyPropylene Pellets)	PP
1.0.8	HZ	Fibers (PPG)	Sack (PolyPropylene Glycol Pellets)	PPG
1.0.8	I0	Fibers (PPOX)	Sack (PolyPropylene Oxide Pellets)	PPOX
1.0.8	I1	Fibers (PS)	Sack (PolyStyrene Pellets)	PS
1.0.8	I2	Fibers (PTBA)	Sack (PolyTert-Butyl Acrylate Pellets)	PTBA
1.0.8	I3	Fibers (PTFE)	Sack (PolyTetraFluoroEthylene Pellets)	PTFE
1.0.8	I4	Fibers (PTMEG)	Sack (PolyTetramethylene Ether Glycol Pellets)	PTMEG
1.0.8	I5	Fibers (PTMG)	Sack (PolyTetramethylene Glycol Pellets)	PTMG
1.0.8	I6	Fibers (PTA)	Sack (PolyThiazyl Pellets)	PTA
1.0.8	I7	Fibers (PTT)	Sack (PolyTrimethylene Terephthalate Pellets)	PTT
1.0.8	I8	Fibers (PU)	Sack (PolyUrethane Pellets)	PU
1.0.8	I9	Fibers (PVAC)	Sack (PolyVinyl Acetate Pellets)	PVAC
1.0.8	Ia	Fibers (PVA)	Sack (PolyVinyl Alcohol Pellets)	PVA
1.0.8	Ib	Fibers (PVB)	Sack (PolyVinyl Butyral Pellets)	PVB
1.0.8	Ic	Fibers (PVC)	Sack (PolyVinyl Chloride Pellets)	PVC
1.0.8	Id	Fibers (PVCA)	Sack (PolyVinyl Chloride Acetate Pellets)	PVCA
1.0.8	Ie	Fibers (PVF)	Sack (PolyVinyl Fluoride Pellets)	PVF
1.0.8	If	Fibers (PVFO)	Sack (PolyVinyl Formal Pellets)	PVFO
1.0.8	Ig	Fibers (PVME)	Sack (PolyVinyl Methyl Ether Pellets)	PVME
1.0.8	Ih	Fibers (PVDC)	Sack (PolyVinylidene Dichloride Pellets)	PVDC
1.0.8	Ii	Fibers (PVDF)	Sack (PolyVinylidene Fluoride Pellets)	PVDF
1.0.8	Ij	Fibers (PVDF-TRFE)	Sack (PolyVinylidene Fluoride-Trifluoroethylene Pellets)	PVDF-TRFE
1.0.8	Ik	Fibers (SAN)	Sack (Styrene-Acrylonitrile Pellets)	SAN
1.0.8	Il	Fibers (SBR)	Sack (Styrene-Butadiene Rubber Pellets)	SBR
1.0.8	Im	Fibers (SBS)	Sack (Styrene-Butadiene-Styrene Pellets)	SBS
1.0.8	In	Fibers (SIS)	Sack (Styrene-Isoprene-Styrene Pellets)	SIS
1.0.8	Io	Fibers (SMAC)	Sack (Styrene-Maleic Anhydride Copolymer Pellets)	SMAC
1.0.8	Ip	Fibers (UHMWPE)	Sack (Ultra-High-Molecular-Weight PolyEthylene Pellets)	UHMWPE
1.0.8	Iq	Fibers (UFP)	Sack (Urea-Formaldehyde Polymers Pellets)	UFP
1.0.8	Ir	Fibers (VLDPE)	Sack (Very-Low-Density PolyEthylene Pellets)	VLDPE
1.0.8	Is	Fibers (VA/AA)	Sack (Vinyl Acetate-Acrylic Acid Pellets)	VA/AA
1.1.0	2B	Fibers (Nylon 6)	Sack (Polycaprolactam Pellets)	Nylon 6
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
