Version	Version Vessel	Compound Name	State of Matter
1.0.0	Vial (Whiskey)	Whiskey	Vial
1.0.0	Beaker (Whiskey)	Whiskey	Beaker
1.0.0	Drum (Whiskey)	Whiskey	Drum
1.0.0	Vial (Carrot Wine)	Carrot Wine	Vial
1.0.0	Beaker (Carrot Wine)	Carrot Wine	Beaker
1.0.0	Drum (Carrot Wine)	Carrot Wine	Drum
1.0.0	Flask (Propylene)	Propylene	Flask
1.0.0	Cartridge (Propylene)	Propylene	Cartridge
1.0.0	Canister (Propylene)	Propylene	Canister
1.0.0	Flask (Ethylene)	Ethylene	Flask
1.0.0	Cartridge (Ethylene)	Ethylene	Cartridge
1.0.0	Canister (Ethylene)	Ethylene	Canister
1.0.0	Vial (Butylene isomers)	Butylene isomers	Vial
1.0.0	Beaker (Butylene isomers)	Butylene isomers	Beaker
1.0.0	Drum (Butylene isomers)	Butylene isomers	Drum
1.0.0	Flask (Hydrogen Gas)	Hydrogen Gas	Flask
1.0.0	Cartridge (Hydrogen Gas)	Hydrogen Gas	Cartridge
1.0.0	Canister (Hydrogen Gas)	Hydrogen Gas	Canister
1.0.0	Flask (Carbon Dioxide)	Carbon Dioxide	Flask
1.0.0	Cartridge (Carbon Dioxide)	Carbon Dioxide	Cartridge
1.0.0	Canister (Carbon Dioxide)	Carbon Dioxide	Canister
1.0.0	Vial (p-Xylene)	p-Xylene	Vial
1.0.0	Beaker (p-Xylene)	p-Xylene	Beaker
1.0.0	Drum (p-Xylene)	p-Xylene	Drum
1.0.0	Flask (Oxygen Gas)	Oxygen Gas	Flask
1.0.0	Cartridge (Oxygen Gas)	Oxygen Gas	Cartridge
1.0.0	Canister (Oxygen Gas)	Oxygen Gas	Canister
1.0.0	Flask (Sweet Butane Fuel)	Sweet Butane Fuel	Flask
1.0.0	Cartridge (Sweet Butane Fuel)	Sweet Butane Fuel	Cartridge
1.0.0	Canister (Sweet Butane Fuel)	Sweet Butane Fuel	Canister
1.0.0	Flask (Sweet Propane Fuel)	Sweet Propane Fuel	Flask
1.0.0	Cartridge (Sweet Propane Fuel)	Sweet Propane Fuel	Cartridge
1.0.0	Canister (Sweet Propane Fuel)	Sweet Propane Fuel	Canister
1.0.0	Vial (Sweet Light Naphtha)	Sweet Light Naphtha	Vial
1.0.0	Beaker (Sweet Light Naphtha)	Sweet Light Naphtha	Beaker
1.0.0	Drum (Sweet Light Naphtha)	Sweet Light Naphtha	Drum
1.0.0	Vial (Mercaptans)	Mercaptans	Vial
1.0.0	Beaker (Mercaptans)	Mercaptans	Beaker
1.0.0	Drum (Mercaptans)	Mercaptans	Drum
1.0.0	Flask (Ammonia)	Ammonia	Flask
1.0.0	Cartridge (Ammonia)	Ammonia	Cartridge
1.0.0	Canister (Ammonia)	Ammonia	Canister
1.0.0	Bag (Sodium Hydroxide)	Sodium Hydroxide	Bag
1.0.0	Sack (Sodium Hydroxide)	Sodium Hydroxide	Sack
1.0.0	Powder Keg (Sodium Hydroxide)	Sodium Hydroxide	Powder Keg
