Ammonium Nitrate	NH4NO3	Ammonium Nitrate	Garden supply; Nitrate of Ammonia (fertilizer)		
Ammonium Persulfate	(NH4)2S2O8	Etching Solution,Ammonium Peroxodisulphate	Electronics supply; circuit board etching solution		
Ammonium Phosphate	(NH4)3PO4	Fertilizer	Garden/Agricultural supply; by name		
Ammonium Sulfate	(NH4)2SO4	—	Garden/Agricultural supply; fertilizer or pH adjuster for soil		
Amylose	(C6H9O5)n	Cornstarch	Grocery store; corn starch		
Anthocyanin	—	—	Extraction from Red Cabbage: Cut, boil, then filter		
Argon Gas	Ar	—	Welding supply; by name		
Ascorbic Acid	C6H8O6	Vitamin C	General; Vitamin C tablets		
Barium Carbonate	BaCO3	—	Difficult to find. Sometimes available from pottery and ceramic supply stores.		
Barium Sulfate	BaSO4	Lithopone	Available from fine art supply houses in a compound with zinc oxide. This compound is known as Lithipone pigment. Also available in very pure form from radiology labs and medical supply as a radio contrast agent for x-rays and CAT scans—here it may be scented or even flavoured. May be available from a well-stocked pottery and ceramics supply store.		
Benzene					
Benzene-Toluene-Xylene	BTX	BTX			
Benzoic Acid					
Benzoyl Peroxide	C14H10O4	benzoic acid peroxide	Concentrations as high as 10% are available in the US at drug stores in cream form for treatment of acne. A paste containing 50% benzoyl peroxide, is available from some hardware stores under the brand name Minwax High Performance Wood Filler.		
Bismuth Subsalicylate	C7H5BiO4	Pepto-Bismol	The active ingredient in Pepto-bismol and Kaopectate.		
Bisphenol A					
Boric Acid	H3BO3	Ant/Roach Killer	Grocery, drug store, hardware stores; pest control section.		
Bromthymol Blue	C27H28Br2O5S	pH Test	Aquarium pH test kits often employ bromthymol blue because it changes color in the 6.0–7.6 range.		
Butadiene					
Butane	C4H10	Butane	The lighter fluid in hand-held fire starters or cigarette lighters is usually liquid butane. Also available in sporting goods & camping stores as a stove fuel. Many similar fuels use propane, so be sure to read the labeling.		
Butanol					
Butyrolactone					
Cadmium Sulfide	CdS	Cadmium Yellow	Fine art supply house. Available as a yellow powder. Sometimes pure, sometimes blended with zinc sulfide to create alternative hues.		
Caffeine	C8H10N4O2	No-Doz	Grocery or drug store. Often in formulation with corn starch as a binder.		
Calcium Carbide	CaC2	—	Still used by cavers and spelunkers to generate acetylene gas for miner's lamps. May be found through a local caver organization (grotto) or at some non-chain camping/outdoor supply stores.		
Calcium Carbonate	CaCO3	Limestone, Carbonate of Lime	Chunks: Marble, limestone. Powder: Precipitated chalk.		
Calcium Chloride	CaCl2	Laundry Aid/Road Salt/De-Icer	Supermarket, Hardware store; much road salt (de-icer) used to de-ice roads in cold climates.		
Calcium Hydroxide	Ca(OH)2	Slaked Lime,garden lime	Gardening department; used to reduce acidity in soil.		
Calcium Hypochlorite	Ca(ClO)2	—	Bleaching powder and some swimming pool disinfectants contain calcium hypochlorite. Available from cleaning or swimming pool supply companies. Keep in mind that some formulations contain cyanuric acid as a stabilizer against UV light.		
Calcium Monoxide					
Calcium Nitrate	Ca(NO3)2·4H2O	Norwegian saltpeter	Available from garden supply and agricultural supply stores as a fertilizer.		
Calcium Oxide	CaO	Lime, Quicklime	Builder's supply; used to make plaster.		
Calcium Phosphate, Monobasic	Ca(H2PO4)2	superphosphate	Available as a fertilizer from garden supply stores. Also sometimes available as a nutritional supplement at health food stores.		
Calcium Sulfate Anhydrous	CaSO4	—	Can be made from commonly available plaster of paris by additional heating to above 180C. Also available at fine art supply stores as Terra Alba.		
Calcium Sulfate Dihydrate	CaSO4·2H20	Gypsum	Can be made from the reaction of Plaster of Paris with Water.		
Calcium Sulfate,Hemihydrate	CaSO4·1/2H20	Plaster of Paris	Hardware stores, arts and craft stores, and hobby shops.		
Camphor	C10H16O	—	Can be found as a flavor additive at some Chinese grocery stores. Sometimes found in the drugstore as a cream or oral remedy. It feels cool like menthol on the skin.		
Caprolactone					
Caprolactum					
Carbon Dioxide	CO2	—	Dry ice is available from party stores, supermarkets, refrigeration supply companies and ice cream companies. Nationally distributed by Airgas through Penguin Brand Dry Ice. Gaseous form available in small canisters at sporting goods stores. Used in air guns and in paintball.		
Carbon Monoxide					
Carbonic Acid	H2CO3	—	Soda water is simply carbonated water, a dilute solution of carbonic acid. A Soda Club home soda maker is a good way to make your own carbonic acid in varying strengths.		
Carboxylates					
Carrageenan	—	—	Available in some health food stores as a food additive. Used in many commercial food preparations as a thickener and gelling agent. Available at fine art supply stores for use in molding and marbling.		
Cellulose	(C6H10O5)n	—	Processed cotton fiber is almost pure cellulose making many undyed clothing articles an excellent source of cellulose. 100% cotton paper is also a good source of this material.		
Cellulose Acetate					
Cellulose Nitrate					
Chlorine Gas	Cl2				
Chromium Oxide	Cr2O3	Chrome Green	Used as a green pigment for fine art paints. It is available as a powder from most fine art supply stores.		
Citric Acid	C6H8O7	Sour Salt	Available at the grocery store as Sour Salt. Also used for home soap making and also in photographic development.		
					
Copper Naphthenate	Cu(C11H10O2)2	cupric naphthenate	Used as a wood preservative to protect lumber from termites, ants, and other burrowing insects. Brands including Wolman and Jasco are up to 25% copper naphthenate with the remainder composed of linseed oil and petroleum distillate-based solvents.		
Copper Sulfate Pentahydrate	CuSO25H2O	cupric sulfate, blue vitriol, bluestone	Hardware store; rootkiller (Zep Root Kill, Rooto Root Kill)		
Copper Sulfate(Anhydrous)	CuSO4	cupric sulfate(anhydrous)	Available from garden supply or pond supply stores as an algaecide and rootkiller.		
Cyanide					
Cyanuric Acid	C3H3N3O3	isocyanuric acid	Available from swimming pool and lawn/yard supply stores as a chlorine stabilizer. A pure tablet form sells under the brand name Kem Tek.		
Cyclohexane					
Cyclohexane Dimethanol					
Cyclohexanone					
Cyclohexylamine					
Dextrose	C6H12O6	glucose, corn syrup	Grocery; corn syrup, some throat lozenges are pure dextrose.		
Diamine					
Dibutoxyethane	CH3CH2CH2CH2OCH2CH2OCH2CH2CH2CH3	Ethylene glycol dibutyl ether			Dialkyl ether
Dicarboxyllic Acid					
Dichloromethane	CH2Cl2	methylene chloride	Used as a solvent, degreaser and adhesive remover, it is available from hardware, automotive, and sometimes craft stores. Purity of commercial products can approach 90% with the remainder being composed of alcohols and petroleum distillates. Common brands include Champion Paint Off, many choke and valve cleaners, and Klean Strip Graffiti Remover.		
Diesel					
Diethoxyethane	CH3CH2OCH2CH2OCH2CH3	Ethylene glycol diethyl ether			Dialkyl ether
Diethylene Glycol					
Dimethoxyethane	CH3OCH2CH2OCH3	Ethylene glycol dimethyl ether	a higher boiling alternative to diethyl etherand THF, also used as a solvent for polysaccharides, a reagent in organometallic chemistry and in some electrolytes of lithium batteries		Dialkyl ether
Dimethyl Sulfoxide	(CH3)2SO	DMSO	Available from health food and naturopathic supply stores for treating injuries. Warning: DMSO will allow anything it has dissolved to pass directly through your skin into your bloodstream. Use gloves and skin protection when working with this chemical.		
Dimethyl Terephthalate					
Dioxane					
Disodium Phosphate	Na2HPO4	pH Down	Found at pet stores and used to lower the pH of aquarium water.		
EDC					
Ethane					
Ethanol					
Ethanol/Ethyl Alcohol	C2H5OH	Everclear	Available as 95% pure ethanol and 5% water from liquor stores in most states. Also available in denaturedform from hardware stores. Grocery and drug stores may carry it as ethyl rubbing alcohol.		
Ether	(C2H5)2O	diethyl ether,ethoxyethane	Sold at auto supply stores in aerosol cans as Starter Fluid or Cold Start Spray. Used to help start damp or inefficient old engines.		
Ethylbenzene					
Ethylene					
Ethylene Carbonate	C3H4O3				
Ethylene Glycol	CH2OHCH2OH	1,2-ethanediol	Some engine antifreezes are primarily ethylene glycol and can be obtained at an automotive supply store.		
Ethylene Oxide					
Ethylidene Diacetate					
Eugenol	CH2CH2CH2C6H3(OCH3)OH	oil of clove, 2-methoxy-4-(2-propenyl)phenol	Available at most health food and natural healing stores as clove oil. Note that organically derived oil of clove will have numerous impurities from the distillation process. Synthetic oil of clove is generally pure but more difficult to find.		
Ferric Chloride	FeCl3	Etching Solution	Available in solution from Radio Shack and other electronics suppliers as an etching solution for circuit boards. Also available in solution from fine art supply stores.		
Ferric Oxide(Iron III Oxide)	Fe2O3	Rust	Common rust. Reddish in color. Can be scraped off of rusted iron objects or purchased in a purified form as the artists pigment Red Iron Oxide from fine art supply stores.		
Ferrous Ferric Oxide (Iron II-III Oxide)	Fe3O4	Magnetite	Used as the artists pigment Mars Black and can be purchased from fine art supply stores.		
Formaldehyde					
Formic Acid	CH2O2	methanoic acid	Available in some stain removers at the hardware store. A fairly pure 5% concentration can be obtained from the blue chamber of Clorox Dual Action Toilet Bowl Cleanser.		
Fructose	C6H12O6	Fruit Sugar	Easily available from most grocery stores.		
Gas Oil					
Glucose	C6H12O6	Dextrose, corn syrup	Grocery; corn syrup. Some throat lozenges are pure dextrose.		
Glycerin, Glycerol	C3H8O3	1,2,3-propanetriol	Glycerin is an emollient used to soften skin by delaying the evaporation of water. It is available at most drug stores.		
Glycolic Acid					
Gum Arabic	CH4O3S	gum acacia	Available at arts & crafts stores and at fine art supply stores as a binder for turning pigments into paints. In solution with water.		
Helium Gas	He2	—	Helium can be obtained from party stores or wherever helium balloons are available. Small disposable containers are available for long-term storage. Containers made by Worthington Industries are 99% pure helium. Note that balloon gas is a mixture of helium and normal air.		
Hexamine	C6H12N4	Hexamethylenetetramine	Sold as solid fuel tablets in camping and outdoor stores, in combination with 1,3,5-trioxane.		
Hydrochloric Acid	HCl	Masonry Cleaner,Muriatic acid	Hardware store; used in swimming pool maintenance, as masonry cleaner and in silverware cleaner.		
Hydrofluoric Acid	HF	Glass Etching Solution	Hardware store; Aluminum brightener & tire cleaner		
Hydrogen Gas	H2	Hydrogen	Can be generated and captured from electrolysis of water and a wide variety of inorganic chemical reactions. Adding aluminium foil to a solution of Sodium Hydroxide will generate hydrogen gas. Highly flammable and explosive under pressure or in quantity.		
Hydrogen Peroxide	H2O2	Peroxide	Hydrogen peroxide antiseptic (3%)or even (6%) is available from the drug store. Clairoxide hair bleach by Clairol is much more concentrated (12%) and is available from beauty supply stores. Concentrations as high as 35% may be available at health food stores and natural medicine stores as a source of natural oxygen. Swimming pool and spa suppliers often carry concentrations as high as 27% but these usually contain preservatives/stabilizers. Note: Do not heat. Do not store in metal containers.		
Hydroquinone	C6H6O2	—	Photography store catering to the at-home darkroom crowd.		
Hypochlorous Acid	HClO	Laundry Bleach	Grocery store.		
Iodine Gas	I2	Iodide	Tincture of iodine, a topical antiseptic used for treating wounds, is a solution of iodine dissolved in ethyl alcohol. It is available at most drug stores. Available from camping stores as crystals for sterilizing water. Crystal Iodine can also be synthesized from Potassium Iodide as radiation pills, utilizing laboratory methods. Certain laboratory methods can be considerably hazardous. Iodine is illicitly used in the production of methamphetamine, making iodine somewhat difficult to obtain. In the United States, it is illegal to sell, purchase, transport, or possess iodine with the knowledge or intention of its use for producing methamphetamine. Small quantities, such as those used in chemistry experiments such as the Briggs–Rauscher reaction, are legal to obtain and require no permits nor record-keeping.[3]		
Iron Sulfate	FeSO4	Ferrous sulfate, Sulfate of iron, Copperas	Available from garden supply stores as a nutrient. Also available as a mordant for pigments from stores that carry dyeing and textile supplies.		
Isophthalic Acid					
Kerosene	CnH2n+1(n=12–16)	Aviation Fuel	Lamp oil or kerosene is sold in the paint departments of most hardware stores. Also available in larger quantities from gas stations in many parts of the country.		
Lactic Acid	C3H6O3	Milk Acid	Available from grocery stores and health food stores.		
Latex	C3H6O3	Liquid Latex Body Paint	Available from adult toy stores as a novelty item and from select hobby shops. Compositions vary in the amount of ammonia and fillers they contain. Also costume/magic shops, as liquid skin/liquid latex.		
Lauryl Alcohol	CH3(CH2)10CH2OH	Fatty Alcohol, Dodecanol	surfactants, lubricating oils,pharmaceuticals, in the formation of monolithic polymers and as a flavor enhancing food additive. In cosmetics, dodecanol is used as an emollient		
Linseed Oil	—	—	Used as a binder in paints and as a finish for wood. Available at hardware stores and fine art supply stores. Boiled linseed oil contains Lead Oxide (boiled with PbO), which speeds hardening (oxidizing) on contact with oxygen.		
Magnesium Carbonate	MgCO3	Athlete's chalk	Often sold as a powder in sporting goods stores for gymnastics, weightlifting, and climbing to help keep hands dry. Sometimes it is combined with calcium carbonate in this use. Available in tablet form as an antacid. Some antacids are pure while others are blended with calcium carbonate.		
Magnesium Chloride	MgCl2	Nigari or Lushui	Asian markets; Nigari, as it's called in Japan, or Lushui, as it's called in China. Used to make tofu from soy milk.		
Magnesium Hydroxide	Mg(OH)2	Milk of Magnesia	Milk of Magnesia is an antacid used to settle sour (acidic) stomachs. Some antacid tablets also contain magnesium hydroxide.		
Magnesium Silicate	Mg3Si4O10(OH)2	Talc	Talcum powder comes from talc, the softest of all minerals, and is used as a dusting powder for babies. It is available in the body care section of the drug store.		
Magnesium Sulfate	MgSO47H2O	Epsom Salt	Drug store; epsom salt is sold as a laxative or as an anti-inflammatory soak. Also available as a chemical for photographic development.		
Manganese Dioxide	MnO2	Pyrolusite	Hardware store; available as the black powder in unused alkaline or carbon-zinc batteries. By extensively washing this powder in distilled water you can remove the embedded Zinc Chloride solution.		
Melamine					
Melamine Formaldehyde					
Mercury (Liquid)	Hg	quicksilver	Becoming difficult to find due to fears of toxicity and environmental contamination. Old mercury switches can be found in many thermostats. Old-style thermometers contain mercury. Fluorescent light tubes contain a small amount of mercury though it can be difficult to extract. Specialty occult stores may carry it as quicksilver. Ben-Wha balls at sex toy shops.		
Meta-Xylene					
Methacrylic Acid	C4H6O2	2-methylpropenoic acid			
Methyl Methacrylate					
Methane	CH4	Natural Gas	Gas line in many homes.		
Methanol	CH3OH	Methyl Alcohol	Methanol is sold as a solvent in paint supply stores under the names wood alcohol or methyl alcohol. Available from automotive supply as a gasoline line anti-freeze.		
Methanol					
Methyl Ethyl Ketone	CH3COC2H5	MEK	Available from most hardware stores as a solvent.		
Methyl Ethyl Ketone Peroxide	C8H16O4	MEKP	Available in dilute solution from hardware and boating supply stores as a catalyst for the polymerization of polyester resins.		
Methyl Isobutyl Ketone	CH3COCH2CH(CH3)2	MIBK	Available from many hardware stores as a solvent.		
Methyl Salicylate	C6H4(OH)COOCH3	Oil of Wintergreen	Drug store		
Methylene Blue	C16H18ClN3S	Methidote	Methylene blue (Methidote antiseptic) is used to treat small injured fish and is available at pet stores.		
Methylene Chloride	CH2Cl2	dichloromethane	Used as a solvent, degreaser and adhesive remover, it is available from hardware, automotive, and sometimes craft stores. Purity of commercial products can approach 90% with the remainder being composed of alcohols and petroleum distillates. Common brands include Champion Paint Off, many choke and valve cleaners, and Klean Strip Graffiti Remover.		
Mineral Oil	complex mixture of hydrocarbons	—	Mineral oil is sold in drug stores as an emollient. Some baby oils are essentially mineral oil and fragrance.		
Molasses					
Monosodium Glutamate	C5H8NNaO4	MSG	Widely used as a condiment in many parts of Asia. Can be purchased from Chinese or Japanese grocery stores. Also easily acquired in many supermarkets as a flavor enhancer.		
N-Ethylidenecyclohexylamine					
Naphtha					
Naphthalene	C10H8	moth balls	Hardware store, grocery store.		
Naphthalenedicarboxylic Acid					
Natural Gas					
Nitrogen Gas	N2	liquid nitrogen	Hospital, laboratory, university, welding supply house, and industrial gas supplier can all provide liquid or gaseous nitrogen.		
Nitrous Oxide	N2O	whipping gas,laughing gas	Whipped cream canisters from the grocery store. Or in larger canisters from commercial restaurant supply houses. When packaged for automotive use it is usually contaminated with hydrogen sulfide to discourage inhalation. Industrial (welding supply) Nitrous Oxide contains NO and NO2 (can be removed with moist steel wool)which makes Nitric acid in your lungs so use with good ventilation. (Heating Ammonium Nitrate generates an industrial grade of Nitrous Oxide at the risk of explosion.)		
Olefins					
Oleyl Alcohol	CH3(CH2)7-CH=CH-(CH2)8OH	Fatty Alcohol, Oleyl alcohol, octadecenol, cis-9-octadecen-1-ol	surfactant, skin cream, moisturizer, shampoo		
Ortho-Xylene					
Oxalic Acid	C2H2O4	rust remover, non-chlorine bleach powder cleanser	Grocery, drug, hardware stores. Bar Keeper's Friend.		
Oxygen Gas	O2	—	Portable welding oxygen tanks are available at welding shops and some hardware stores. Can be generated in small quantities from the electrolysisof water.		
Para-Dichlorobenzene	C6H4Cl2	moth flakes, moth crystals	Hardware or grocery store.		
Para-Xylene					
Paraffin	CnH2n+2 (n>19)	—	Unless otherwise labeled, candle wax is made of paraffin. Some grocery stores sell paraffin as a sealant for home canning. Many arts and crafts stores sell paraffin for at-home candle makers. Vaseline brand is also paraffin, albeit with molecules that are slightly shorter.		
Peracetic Acid					
Phenol	C6H5OH	—	Phenol can be found in small amounts (~1–2%) in analgesic sore throat spray.		
Phenol Formaldehyde					
Phenol Red	C19H19SO5	phenolsulfonephthalein	Used as a pH tester for swimming pools. Available at swimming pool supply stores.		
Phenolphthalein	C20H14O4	—	Magic shops might carry it as a pinkish disappearing ink. Blue disappearing ink is not phenolphthalein but thymolphthalein. Difficult to find outside of chemical supply.		
Phosgene					
Phosphoric Acid	H3PO4	pH Down	Some pH reducers (available at pet stores) used in fish tanks are simply dilute solutions (up to 30%) of phosphoric acid. Also available in gel form at hardware stores as a rust remover. Naval Jelly in a spray bottle at hardware stores. Also used as asolder flux.		
Potassium Aluminium Sulfate	KAl(SO4)2·12H2O	Alum, aluminium potassium sulfate	It is used as an astringent to shrinkmucous membranes. Some styptic pencils use it in their formulation. Often sold as a deodorant stone at natural health stores. Also available as a mordant for clothing dyes (RIT brand and others).		
Potassium Bitartrate	KHC4H4O6	Cream of Tartar	Cream of Tartar is available at the grocery store and is used to stabilize delicate foods like meringue toppings and other baked egg-white products.		
Potassium Bromide	KBr	—	Photography store catering to the at-home darkroom crowd.		
Potassium Carbonate	K2CO3	Potash	Available at some garden supply and agricultural stores.		
Potassium Chloride	KCl	Salt substitute	Available as a salt substitute by people who must limit their sodium intake, and is available at most supermarkets. Also available in larger, though slightly less pure, quantities as a road salt de-icer.		
Potassium Chromium Sulfate	KCr(SO4)2·12H20	potassium chrome alum	Photography store catering to the at-home darkroom crowd.		
Potassium Dichromate	K2Cr2O7	—	Photography store catering to the at-home darkroom crowd. Also used as a mordant (Chrome Mordant) for textiles and may be available at a dyeing and fabric store.		
Potassium Hydroxide	KOH	Caustic potash	Available at some ceramic supply houses and from arts and crafts stores for soap making. Difficult to find. May be the active ingredient in some drain cleaning solutions. Kodak SII Activator is 10% Potassium Hydroxide with various sulfites and bromides in the mixture. Veterinary supply houses may carry it for dissolving hair and horns in animals.		
Potassium Iodide	KI	Radiation Pills	Available sometimes as a photographic development chemical. Also from outdoor/survivalist stores in pill form to avoid the uptake of radioactive iodine during a nuclear accident.		
Potassium Iron (II) Hexacyanoferrate(III)	KFe[Fe(CN)6]	potassium iron ferricyanide, potassium ferroferricyanide	Mrs. Stewart's liquid laundry bluing is used to whiten clothes and may be found in the detergents section of the supermarket.		
Potassium Metabisulfite	K2S3O5	Campden tablets	Used as a sterilizing agent in winemaking and brewing processes. Sold as tablets which may be pure, blended with sodium metabisulfite, or contain only sodium metabisulfite.		
Potassium Nitrate	KNO3	Saltpeter, saltpetre	Supermarket; saltpeter or quick salt is used to cure home-made sausagesand corned beef. May be available at independent butcher shops.		
Potassium Permanganate	KMnO4	Clearwater	Clearwater is a solution of approximately 50% potassium permanganate and is used to remove odors and cloudiness from water to be used in aquariums and garden ponds. Also used to treat diseases in fish. Used as ~98% pure powder for treatment of hard well water in water softeners. Potassium Permanganate in a dilute solution form can also be found in certain fish water additive sometimes labelled as Gill, Fungus, Parasite's Special, One sure way to test is to put some onto your skin and leave it there for a while, then see if there's a brownish coloration/stain. The color of the solution is colored as normal permanganate in solution.		
Potassium Phenoxide	KOC6H5				
Potassium Sodium Tartrate	NaKC4H4O6 * 4H2O	Rochelle salt	Drug store		
Propane	C3H8	—	Gas barbecue fuel is generally made of propane and is available at many gasoline stations or picnic supply stores.		
Propanol					
Propylene					
Silicon Carbide	SiC	Carborundum	This hard, abrasive powder is often found sorted by particle size for use in sandblasting and industrial supply houses.		
Silicon Dioxide	SiO2	Sand, silica	Quartz sand is relatively pure silicon dioxide and is available at many building supply stores and also aquarium shops. Often found sorted by particle size for use in sandblasting. Micrometre sized particles are used as a filler in rubbers, plastics, and mold making materials and may be available in hobby shops as Min-u-Sil brand.		
Sodium Acetate	NaC2H3O2	Hand Warmer	Main ingredient in hand-warmers that are available at sporting goods stores. Can also be made through the reaction of baking soda and vinegar.		
Sodium Bicarbonate	NaHCO3	Baking Soda, Bicarbonate of Soda	Grocery baking section; single action baking soda		
Sodium Bisulfate	NaHSO4	pH Down	Pool supply store. Crystal Vanish drain cleaner.		
Sodium Borate	Na2B4O710H2O	—	The water can be driven off of grocery store Borax by heating to 200C to create pure sodium borate (although it will begin absorbing atmospheric moisture again when cooled and left in the open).		
Sodium Bromide	NaBr	Hot Tub Salt	Pool supply store		
Sodium Carbonate	Na2CO3	Washing soda,soda ash	Grocery; Arm & Hammer		
Sodium Chlorate	NaClO3	—	Available from gardening and agricultural stores. This herbicide is toxic to all green plants and, as such, is becoming less available as more selective herbicides some onto the market. Some brand names are Atlacide, Defol, Drop-Leaf, and Tumbleaf. Read product labeling to deduce the particular purity of any of these brands.		
Sodium Chloride	NaCl	Salt	Grocery; Table salt used in cooking is sodium chloride, usually with anti-caking agents such as magnesium carbonate. Iodized salt contains traces of sodium iodide.		
Sodium Fluoride	NaF	—	Used in toothpastes and mouthwashes to prevent cavities. Difficult to obtain in pure form. Most dental solutions contain a laundry list of inert ingredients to provide coloring, flavor, foaming, and other aesthetic properties.		
Sodium Hexametaphosphate	(NaPO3)6	Sodium polymetaphosphate,Calgon water softener	This water softener, surfactant and detergent is the primary ingredient in Calgon water softener. It is available at the grocery and hardware store. It is also known by other names including: glassy sodium, Graham's Salt, and hexasodium salt.		
Sodium Hydroxide	NaOH	Lye, Caustic Soda	Grocery, hardware; Known also as caustic soda and lye, sodium hydroxide is used in many commercial drain cleaners/openers.		
Sodium Hypochlorite	NaClO	Bleach	Household bleach is generally a 5% solution of sodium hypochlorite.		
Sodium Metabisulfite	Na2S2O5	Campden tablets	Used as a sterilizing agent in winemaking and brewing processes. Sold as tablets which may be pure, blended withpotassium metabisulfite, or contain onlypotassium metabisulfite.		
Sodium Nitrate	NaNO3	Chile saltpeter	Garden supply store		
Sodium Percarbonate	2Na2CO3·3H2O2	sodium carbonate peroxyhydrate	A combination of sodium carbonate and hydrogen peroxide in solution, this is often sold as a wood bleach for use on decks and outdoor wood furniture. Available at many hardware and home improvement stores. Sometimes referred to as oxygenated bleach.		
Sodium Phenoxide	NaOC6H5				
Sodium Phosphate	Na3PO4	Tri Sodium Phosphate	Tri-sodium phosphate, commonly known as TSP, is available at hardware stores and is used to clean walls prior to painting.		
Sodium Silicate	Na2SiO3, Na2Si3O7	water glass, egg preserver, magic rocks	Can be found at some hardware stores and drug stores. Available from ceramic suppliers as a flocculent in clay slip casting. Non-phosphate TSP substitute. Liquid sold with muffler bandage at auto stores.		
Sodium Sulfate	Na2SO4	—	Photography store catering to the at-home darkroom crowd.		
Sodium Sulfite	Na2SO3	—	Photography store catering to the at-home darkroom crowd.		
Sodium Tetraborate Decahydrate	Na2B4O710H2O	Borax	Market, drug store; Borax, such asTwenty-Mule-Team Borax Laundry Booster.		
Sodium Thiosulfate	Na2S2O3	Hypo	Photographer's hypo is used in photograph development and is available at photography supply stores. Also available from pet shops as a de-chlorination additive to fish water.		
Stearic Acid	C17H35CO2H	candle hardener	Some arts and crafts stores will carry this item. It is used by do-it-yourself candle makers.		
Stearyl Alcohol	CH3(CH2)16CH2OH	Fatty Alcohol, Stearyl alcohol	lubricants, resins, perfumes and cosmetics. It is used as an emollient, emulsifier, and thickener in ointments of various sorts, and is widely used as a hair coating in shampoos		
Styrene					
