Version	Game ID	Gripped Tool	Tool	Molded Item	Synthetic Gripped	Durability Buff	Speed Buff	Level	First Release	Notes
1.4.8	1io	Gripped Composite Antimony-Lead Axe	Composite Antimony-Lead	Grip (Synthetic Rubber)	Golden	1.25	1.25	8	FALSE	
1.4.8	1ip	Gripped Engineered Steel Axe	Engineered Steel	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1iq	Gripped Engineered Stainless Steel Axe	Engineered Stainless Steel	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1ir	Gripped Engineered Brass Axe	Engineered Brass	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1is	Gripped Engineered Bronze Axe	Engineered Bronze	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1it	Gripped Engineered Tungsten Carbide Axe	Engineered Tungsten Carbide	Grip (Synthetic Rubber)	Diamond	1.25	1.25	8	FALSE	
1.4.8	1iu	Gripped Engineered Nichrome Axe	Engineered Nichrome	Grip (Synthetic Rubber)	Golden	1.25	1.25	8	FALSE	
1.4.8	1iv	Gripped Engineered Antimony-Lead Axe	Engineered Antimony-Lead	Grip (Synthetic Rubber)	Golden	1.25	1.25	8	FALSE	
1.4.8	1iw	Gripped Composite Iron Axe	Composite Iron	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1ix	Gripped Engineered Iron Axe	Engineered Iron	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1iy	Gripped Composite Diamond Axe	Composite Diamond	Grip (Synthetic Rubber)	Diamond	1.25	1.25	8	FALSE	
1.4.8	1iz	Gripped Engineered Diamond Axe	Engineered Diamond	Grip (Synthetic Rubber)	Diamond	1.25	1.25	8	FALSE	
1.4.8	1iA	Gripped Composite Steel Sword	Composite Steel	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1iB	Gripped Composite Stainless Steel Sword	Composite Stainless Steel	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1iC	Gripped Composite Brass Sword	Composite Brass	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1iD	Gripped Composite Bronze Sword	Composite Bronze	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1iE	Gripped Composite Tungsten Carbide Sword	Composite Tungsten Carbide	Grip (Synthetic Rubber)	Diamond	1.25	1.25	8	FALSE	
1.4.8	1iF	Gripped Composite Nichrome Sword	Composite Nichrome	Grip (Synthetic Rubber)	Golden	1.25	1.25	8	FALSE	
1.4.8	1iG	Gripped Composite Antimony-Lead Sword	Composite Antimony-Lead	Grip (Synthetic Rubber)	Golden	1.25	1.25	8	FALSE	
1.4.8	1iH	Gripped Engineered Steel Sword	Engineered Steel	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1iI	Gripped Engineered Stainless Steel Sword	Engineered Stainless Steel	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1iJ	Gripped Engineered Brass Sword	Engineered Brass	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1iK	Gripped Engineered Bronze Sword	Engineered Bronze	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1iL	Gripped Engineered Tungsten Carbide Sword	Engineered Tungsten Carbide	Grip (Synthetic Rubber)	Diamond	1.25	1.25	8	FALSE	
1.4.8	1iM	Gripped Engineered Nichrome Sword	Engineered Nichrome	Grip (Synthetic Rubber)	Golden	1.25	1.25	8	FALSE	
1.4.8	1iN	Gripped Engineered Antimony-Lead Sword	Engineered Antimony-Lead	Grip (Synthetic Rubber)	Golden	1.25	1.25	8	FALSE	
1.4.8	1iO	Gripped Composite Iron Sword	Composite Iron	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1iP	Gripped Engineered Iron Sword	Engineered Iron	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1iQ	Gripped Composite Diamond Sword	Composite Diamond	Grip (Synthetic Rubber)	Diamond	1.25	1.25	8	FALSE	
1.4.8	1iR	Gripped Engineered Diamond Sword	Engineered Diamond	Grip (Synthetic Rubber)	Diamond	1.25	1.25	8	FALSE	
1.4.8	1iS	Gripped Composite Steel Pickaxe	Composite Steel	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1iT	Gripped Composite Stainless Steel Pickaxe	Composite Stainless Steel	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1iU	Gripped Composite Brass Pickaxe	Composite Brass	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1iV	Gripped Composite Bronze Pickaxe	Composite Bronze	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1iW	Gripped Composite Tungsten Carbide Pickaxe	Composite Tungsten Carbide	Grip (Synthetic Rubber)	Diamond	1.25	1.25	8	FALSE	
1.4.8	1iX	Gripped Composite Nichrome Pickaxe	Composite Nichrome	Grip (Synthetic Rubber)	Golden	1.25	1.25	8	FALSE	
1.4.8	1iY	Gripped Composite Antimony-Lead Pickaxe	Composite Antimony-Lead	Grip (Synthetic Rubber)	Golden	1.25	1.25	8	FALSE	
1.4.8	1iZ	Gripped Engineered Steel Pickaxe	Engineered Steel	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1j0	Gripped Engineered Stainless Steel Pickaxe	Engineered Stainless Steel	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1j1	Gripped Engineered Brass Pickaxe	Engineered Brass	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1j2	Gripped Engineered Bronze Pickaxe	Engineered Bronze	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1j3	Gripped Engineered Tungsten Carbide Pickaxe	Engineered Tungsten Carbide	Grip (Synthetic Rubber)	Diamond	1.25	1.25	8	FALSE	
1.4.8	1j4	Gripped Engineered Nichrome Pickaxe	Engineered Nichrome	Grip (Synthetic Rubber)	Golden	1.25	1.25	8	FALSE	
1.4.8	1j5	Gripped Engineered Antimony-Lead Pickaxe	Engineered Antimony-Lead	Grip (Synthetic Rubber)	Golden	1.25	1.25	8	FALSE	
1.4.8	1j6	Gripped Composite Iron Pickaxe	Composite Iron	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1j7	Gripped Engineered Iron Pickaxe	Engineered Iron	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1j8	Gripped Composite Diamond Pickaxe	Composite Diamond	Grip (Synthetic Rubber)	Diamond	1.25	1.25	8	FALSE	
1.4.8	1j9	Gripped Engineered Diamond Pickaxe	Engineered Diamond	Grip (Synthetic Rubber)	Diamond	1.25	1.25	8	FALSE	
1.4.8	1ja	Gripped Composite Steel Shovel	Composite Steel	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1jb	Gripped Composite Stainless Steel Shovel	Composite Stainless Steel	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1jc	Gripped Composite Brass Shovel	Composite Brass	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1jd	Gripped Composite Bronze Shovel	Composite Bronze	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1je	Gripped Composite Tungsten Carbide Shovel	Composite Tungsten Carbide	Grip (Synthetic Rubber)	Diamond	1.25	1.25	8	FALSE	
1.4.8	1jf	Gripped Composite Nichrome Shovel	Composite Nichrome	Grip (Synthetic Rubber)	Golden	1.25	1.25	8	FALSE	
1.4.8	1jg	Gripped Composite Antimony-Lead Shovel	Composite Antimony-Lead	Grip (Synthetic Rubber)	Golden	1.25	1.25	8	FALSE	
1.4.8	1jh	Gripped Engineered Steel Shovel	Engineered Steel	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1ji	Gripped Engineered Stainless Steel Shovel	Engineered Stainless Steel	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1jj	Gripped Engineered Brass Shovel	Engineered Brass	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1jk	Gripped Engineered Bronze Shovel	Engineered Bronze	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1jl	Gripped Engineered Tungsten Carbide Shovel	Engineered Tungsten Carbide	Grip (Synthetic Rubber)	Diamond	1.25	1.25	8	FALSE	
1.4.8	1jm	Gripped Engineered Nichrome Shovel	Engineered Nichrome	Grip (Synthetic Rubber)	Golden	1.25	1.25	8	FALSE	
1.4.8	1jn	Gripped Engineered Antimony-Lead Shovel	Engineered Antimony-Lead	Grip (Synthetic Rubber)	Golden	1.25	1.25	8	FALSE	
1.4.8	1jo	Gripped Composite Iron Shovel	Composite Iron	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1jp	Gripped Engineered Iron Shovel	Engineered Iron	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1jq	Gripped Composite Diamond Shovel	Composite Diamond	Grip (Synthetic Rubber)	Diamond	1.25	1.25	8	FALSE	
1.4.8	1jr	Gripped Engineered Diamond Shovel	Engineered Diamond	Grip (Synthetic Rubber)	Diamond	1.25	1.25	8	FALSE	
