# of Objects	Object	Ore	Ingot	Nugget	Compressed Block	Catalyst	Deprecated 1	Deprecated 2	Compound Small	Compound Medium	Compound Large	Compound Industrial	Compound Small(2)	Compound Medium(2)	Compound Large(2)	Compound Industrial(2)	Element Small	Element Medium	Element Large	Element Industrial	Bag (Pellets)	Sack (Pellets)	Powder Keg (Pellets)	Chemical Silo (Pellets)	Polymer Block	Polymer Slab	Polymer Stairs	Brick	Mold	Molded Item	Mask	Wafer	Electronics	DNA Sampler	Cell Culture Dish	Polycraft Headgear	Polycraft Chest	Polycraft Leggings	Polycraft Feet	Polycraft Hoe	Polycraft Spade	Polycraft Pickaxe	Polycraft Axe	Polycraft Sword	Inventory	Gripped Tool	Pogo Stick	Custom Object	Internal Object	Minecraft Item	Minecraft Block
4592	Object	Magnesium Ore	Magnesium Ingot	Magnesium Nugget	Block of Magnesium	Platinum Catalyst	Bag (PolyIsoPrene Pellets)	Vial (Crude Oil)	Flask (1,1,1,2-Tetrafluoroethane)	Cartridge (1,1,1,2-Tetrafluoroethane)	Canister (1,1,1,2-Tetrafluoroethane)	Chemical Tank (1,1,1,2-Tetrafluoroethane)	Vial (Antifreeze)	Beaker (Antifreeze)	Drum (Antifreeze)	Chemical Vat (Antifreeze)	Flask (Hydrogen)	Cartridge (Hydrogen)	Canister (Hydrogen)	Chemical Tank (Hydrogen)	Vial (Acrylic-Formaldehyde Resin)	Beaker (Acrylic-Formaldehyde Resin)	Drum (Acrylic-Formaldehyde Resin)	Chemical Vat (Acrylic-Formaldehyde Resin)	Block (AF Resin)	Slab (AF Resin)	Stairs (AF Resin)	ABS Brick (1 x 1)	Mold (Grip)	Grip (Natural Rubber)	Mask (Solar Cell)(PR Backplane)	Silicon Wafer	Solar Cell	DNA Sampler (Pig)	Cell Culture Dish (Pig)	Rubber Shower Cap	Rubber Shirt	Rubber Wading Pants	Rubber Booties	Composite Steel Hoe	Composite Steel Spade	Composite Steel Pickaxe	Composite Steel Axe	Composite Steel Sword	Tree Tap	Gripped Iron Shovel	Wooden Pogo Stick	Metal Screw	Oil	Iron Shovel	Air
73	Compound Small(2)	Platinum Ore	Platinum Ingot	Platinum Nugget	Block of Platinum	Iron III Oxide Catalyst	Bag (Chitin Pellets)	Drum (Gas Oil)	Vial (2-Butoxyethanol)	Beaker (2-Butoxyethanol)	Drum (2-Butoxyethanol)	Chemical Vat (2-Butoxyethanol)	Bag (MOF-5)	Sack (MOF-5)	Powder Keg (MOF-5)	Chemical Silo (MOF-5)	Bag (Magnesium)	Sack (Magnesium)	Powder Keg (Magnesium)	Chemical Silo (Magnesium)	Bag (Ethoxylates Pellets)	Sack (Ethoxylates Pellets)	Powder Keg (Ethoxylates Pellets)	Chemical Silo (Ethoxylates Pellets)	Block (NRE)	Slab (NRE)	Stairs (NRE)	ABS Brick (2 x 8)	Mold (Flashlight Shaft)	Cord (Natural Rubber)	Mask (Processor)(PR Outer Traces)	Wafer (Processor) (6 of 8)	0	DNA Sampler (Horse)	Cell Culture Dish (Horse)	Palladin Helm	Palladin Cuirass	Palladin Poleyn	Palladin Treadsoles	Engineered Tungsten Carbide Hoe	Engineered Tungsten Carbide Spade	Engineered Tungsten Carbide Pickaxe	Engineered Tungsten Carbide Axe	Engineered Tungsten Carbide Sword	Wine Press	Gripped Stone Axe	0	Scuba Tank (Beginner)	0	Iron Sword	Lava
73	Compound Medium(2)	Plumbum (Lead) Ore	Plumbum (Lead) Ingot	Plumbum (Lead) Nugget	Block of Plumbum (Lead)	Ziegler-Natta Catalyst	Bag (Chlorine Isobutylene-Isoprene Rubber Pellets)	Vial (NeoPentane)	Vial (2-Butoxyethyl Acetate)	Beaker (2-Butoxyethyl Acetate)	Drum (2-Butoxyethyl Acetate)	Chemical Vat (2-Butoxyethyl Acetate)	Bag (CD-MOF)	Sack (CD-MOF)	Powder Keg (CD-MOF)	Chemical Silo (CD-MOF)	Bag (Aluminum)	Sack (Aluminum)	Powder Keg (Aluminum)	Chemical Silo (Aluminum)	Bag (Ethylene-Propylene Monomer Pellets)	Sack (Ethylene-Propylene Monomer Pellets)	Powder Keg (Ethylene-Propylene Monomer Pellets)	Chemical Silo (Ethylene-Propylene Monomer Pellets)	Block (EPM)	Slab (EPM)	Stairs (EPM)	0	Mold (Plastic Brick (1 x 1))	Hose (Low Pressure)	Mask (Processor)(PR Encapsulation)	Wafer (Processor) (7 of 8)	0	DNA Sampler (Witch)	Cell Culture Dish (Witch)	Silver Sallet	Silver Bevor	Silver Schynbalds	Silver Sabatons	Engineered Nichrome Hoe	Engineered Nichrome Spade	Engineered Nichrome Pickaxe	Engineered Nichrome Axe	Engineered Nichrome Sword	Spotlight	Gripped Diamond Sword	0	Scuba Tank (Intermediate)	0	Wooden Sword	Sand
73	Compound Large(2)	Bismuth Ore	Bismuth Ingot	Bismuth Nugget	Block of Bismuth	Cobalt-Manganese-Bromide Catalyst	Vial (Epoxy Resin)	Beaker (NeoPentane)	Vial (2C3 mercaptan)	Beaker (2C3 mercaptan)	Drum (2C3 mercaptan)	Chemical Vat (2C3 mercaptan)	Bag (Bucky Balls (C60))	Sack (Bucky Balls (C60))	Powder Keg (Bucky Balls (C60))	Chemical Silo (Bucky Balls (C60))	Bag (Silicon)	Sack (Silicon)	Powder Keg (Silicon)	Chemical Silo (Silicon)	Bag (Ethylene-Propylene-Diene Monomer Pellets)	Sack (Ethylene-Propylene-Diene Monomer Pellets)	Powder Keg (Ethylene-Propylene-Diene Monomer Pellets)	Chemical Silo (Ethylene-Propylene-Diene Monomer Pellets)	Block (EPDM)	Slab (EPDM)	Stairs (EPDM)	0	Mold (Plastic Brick (1 x 2))	Pipe Segment (PP)	Mask (Temperature Sensor)(PR Backplane)	Wafer (Processor)	0	DNA Sampler (Creeper)	Cell Culture Dish (Creeper)	SuperB Barbute	SuperB Chestplate	SuperB Lames	SuperB Batts	Engineered Antimony-Lead Hoe	Engineered Antimony-Lead Spade	Engineered Antimony-Lead Pickaxe	Engineered Antimony-Lead Axe	Engineered Antimony-Lead Sword	Merox Treatment Unit	Gripped Diamond Shovel	0	Scuba Tank (Advanced)	0	Wooden Shovel	Gravel
73	Compound Industrial(2)	Bauxite	Aluminum Ingot	Aluminum Nugget	Block of Aluminum	Zeolite Catalyst	Bag (Ethoxylates Pellets)	Drum (NeoPentane)	Vial (2-Ethoxyethanol)	Beaker (2-Ethoxyethanol)	Drum (2-Ethoxyethanol)	Chemical Vat (2-Ethoxyethanol)	Bag (Zinc Nitrate)	Sack (Zinc Nitrate)	Powder Keg (Zinc Nitrate)	Chemical Silo (Zinc Nitrate)	Bag (Phosphorus)	Sack (Phosphorus)	Powder Keg (Phosphorus)	Chemical Silo (Phosphorus)	Bag (Ethylene-Vinyl Acetate Pellets)	Sack (Ethylene-Vinyl Acetate Pellets)	Powder Keg (Ethylene-Vinyl Acetate Pellets)	Chemical Silo (Ethylene-Vinyl Acetate Pellets)	Block (EVA)	Slab (EVA)	Stairs (EVA)	0	Mold (Plastic Brick (1 x 3))	Flashlight Shaft (PS)	Mask (Temperature Sensor)(PR Semiconductor)	Wafer (Temperature Sensor) (1 of 5)	0	DNA Sampler (Silverfish)	Cell Culture Dish (Silverfish)	Wolfram Great Helm	Wolfram Cuirass	Wolfram Poleyns	Wolfram Treadsoles	Composite Iron Hoe	Composite Iron Spade	Composite Iron Pickaxe	Composite Iron Axe	Composite Iron Sword	Flow Regulator	Gripped Diamond Pickaxe	0	Scuba Tank (Pro)	0	Wooden Pickaxe	Gold Ore
118	Element Small	Tar Sand	Steel Ingot	Steel Nugget	Block of Steel	Zinc II Chloride Catalyst	Bag (Ethylene-Propylene Monomer Pellets)	Flask (Methane)	Vial (2-Ethoxyethyl Acetate)	Beaker (2-Ethoxyethyl Acetate)	Drum (2-Ethoxyethyl Acetate)	Chemical Vat (2-Ethoxyethyl Acetate)	Bag (Lead Oxide)	Sack (Lead Oxide)	Powder Keg (Lead Oxide)	Chemical Silo (Lead Oxide)	Bag (Sulfur)	Sack (Sulfur)	Powder Keg (Sulfur)	Chemical Silo (Sulfur)	Bag (High Density PolyEthylene Pellets)	Sack (High Density PolyEthylene Pellets)	Powder Keg (High Density PolyEthylene Pellets)	Chemical Silo (High Density PolyEthylene Pellets)	Block (HDPE)	Slab (HDPE)	Stairs (HDPE)	0	Mold (Plastic Brick (1 x 4))	Heated Knife Handle (PP)	Mask (Temperature Sensor)(PR Dielectric)	Wafer (Temperature Sensor) (2 of 5)	0	DNA Sampler (Cave Spider)	Cell Culture Dish (Cave Spider)	Noble Armet	Noble Gorget	Noble Leggings	Noble Pantoble	Engineered Iron Hoe	Engineered Iron Spade	Engineered Iron Pickaxe	Engineered Iron Axe	Engineered Iron Sword	Condenser	Gripped Diamond Axe	0	Structural Truss	0	Wooden Axe	Iron Ore
118	Element Medium	Shale	Stainless Steel Ingot	Stainless Steel Nugget	Block of Stainless Steel	Tungsten VI Chloride  Catalyst	Bag (Ethylene-Propylene-Diene Monomer Pellets)	Cartridge (Methane)	Vial (2-Isopropoxyethanol)	Beaker (2-Isopropoxyethanol)	Drum (2-Isopropoxyethanol)	Chemical Vat (2-Isopropoxyethanol)	Bag (Lithium Hexafluorophosphate)	Sack (Lithium Hexafluorophosphate)	Powder Keg (Lithium Hexafluorophosphate)	Chemical Silo (Lithium Hexafluorophosphate)	Flask (Chlorine)	Cartridge (Chlorine)	Canister (Chlorine)	Chemical Tank (Chlorine)	Bag (Hydrogenated Nitrile-Butadiene Rubber Pellets)	Sack (Hydrogenated Nitrile-Butadiene Rubber Pellets)	Powder Keg (Hydrogenated Nitrile-Butadiene Rubber Pellets)	Chemical Silo (Hydrogenated Nitrile-Butadiene Rubber Pellets)	Block (HNBR)	Slab (HNBR)	Stairs (HNBR)	0	Mold (Plastic Brick (2 x 2))	Heated Knife Handle (Natural Rubber)	Mask (Temperature Sensor)(PR Traces)	Wafer (Temperature Sensor) (3 of 5)	0	DNA Sampler (Ghast)	Cell Culture Dish (Ghast)	Plumed Close Helm	Plumed Cuirass	Plumed Poleyns	Plumed Pantofle	Composite Diamond Hoe	Composite Diamond Spade	Composite Diamond Pickaxe	Composite Diamond Axe	Composite Diamond Sword	Pump	Gripped Golden Sword	0	Barley	0	Stone Sword	Coal Ore
118	Element Large	Graphite	Brass Ingot	Brass Nugget	Block of Brass	Samarium III Chloride Catalyst	Bag (Ethylene-Vinyl Acetate Pellets)	Canister (Methane)	Vial (2-Methoxyethanol)	Beaker (2-Methoxyethanol)	Drum (2-Methoxyethanol)	Chemical Vat (2-Methoxyethanol)	Bag (Potassium Persulfate)	Sack (Potassium Persulfate)	Powder Keg (Potassium Persulfate)	Chemical Silo (Potassium Persulfate)	Flask (Argon)	Cartridge (Argon)	Canister (Argon)	Chemical Tank (Argon)	Bag (Isobutylene-Isoprene Rubber Pellets)	Sack (Isobutylene-Isoprene Rubber Pellets)	Powder Keg (Isobutylene-Isoprene Rubber Pellets)	Chemical Silo (Isobutylene-Isoprene Rubber Pellets)	Block (Butyl Rubber)	Slab (Butyl Rubber)	Stairs (Butyl Rubber)	0	Mold (Plastic Brick (2 x 3))	Heated Knife Handle (PEEK)	Mask (Temperature Sensor)(PR Encapsulation)	Wafer (Temperature Sensor) (4 of 5)	0	DNA Sampler (Blaze)	Cell Culture Dish (Blaze)	Pepto Bismal Pink Cap	Pepto Bismal Pink Bodygear	Pepto Bismal Pink Splatterdashes	Pepto Bismal Pink Swiftlere	Engineered Diamond Hoe	Engineered Diamond Spade	Engineered Diamond Pickaxe	Engineered Diamond Axe	Engineered Diamond Sword	Gaslamp	Gripped Golden Shovel	0	Grapes	0	Stone Shovel	Log
118	Element Industrial	Chromite	Bronze Ingot	Bronze Nugget	Block of Bronze	Magnesium Oxide Catalyst	Bag (High Density PolyEthylene Pellets)	Flask (Ethane)	Vial (2-Methoxyethyl Acetate)	Beaker (2-Methoxyethyl Acetate)	Drum (2-Methoxyethyl Acetate)	Chemical Vat (2-Methoxyethyl Acetate)	Bag (Potassium Bisulfate)	Sack (Potassium Bisulfate)	Powder Keg (Potassium Bisulfate)	Chemical Silo (Potassium Bisulfate)	Bag (Potassium)	Sack (Potassium)	Powder Keg (Potassium)	Chemical Silo (Potassium)	Vial (Lignin)	Beaker (Lignin)	Drum (Lignin)	Chemical Vat (Lignin)	Block (Lignin)	Slab (Lignin)	Stairs (Lignin)	0	Mold (Plastic Brick (2 x 4))	Fibers (AF Resin)	Mask (Pressure Sensor)(PR Backplane)	Wafer (Temperature Sensor)	0	DNA Sampler (Zombie Pigman)	Cell Culture Dish (Zombie Pigman)	Tin Foil Hat	Tin Foil Chestplate	Tin Foil Greaves	Tin Foil Overshoes	 Hoe	 Spade	 Pickaxe	 Axe	 Sword	Mask Writer	Gripped Golden Pickaxe	0	Copper Piping	0	Stone Pickaxe	Leaves
118	Bag (Pellets)	Bitumen	Tin Ingot	Tin Nugget	Block of Bitumen	Magnesium Sulfate Catalyst	Bag (Hydrogenated Nitrile-Butadiene Rubber Pellets)	Cartridge (Ethane)	Vial (2-MethylPentane)	Beaker (2-MethylPentane)	Drum (2-MethylPentane)	Chemical Vat (2-MethylPentane)	Vial (Salt Water)	Beaker (Salt Water)	Drum (Salt Water)	Chemical Vat (Salt Water)	Bag (Calcium)	Sack (Calcium)	Powder Keg (Calcium)	Chemical Silo (Calcium)	Bag (Linear Low-Density PolyEthylene Pellets)	Sack (Linear Low-Density PolyEthylene Pellets)	Powder Keg (Linear Low-Density PolyEthylene Pellets)	Chemical Silo (Linear Low-Density PolyEthylene Pellets)	Block (LLDPE)	Slab (LLDPE)	Stairs (LLDPE)	0	Mold (Plastic Brick (3 x 3))	Fibers (ABS)	Mask (Pressure Sensor)(PR Semiconductor)	Wafer (Pressure Sensor) (1 of 5)	0	DNA Sampler (Magma Cube)	Cell Culture Dish (Magma Cube)	Steel Sallet	Steel Bevor	Steel Shynbalds	Steel Sabatons	 Hoe	 Spade	 Pickaxe	 Axe	 Sword	Portal Chest	Gripped Golden Axe	0	Regulator (Low Pressure)	0	Stone Axe	Sponge
118	Sack (Pellets)	OilField	Chrome Ingot	Chrome Nugget	Block of Tin	Copper II Sulfate Catalyst	Bag (Isobutylene-Isoprene Rubber Pellets)	Canister (Ethane)	Vial (2-Phenoxyethanol)	Beaker (2-Phenoxyethanol)	Drum (2-Phenoxyethanol)	Chemical Vat (2-Phenoxyethanol)	Vial (Isoprene)	Beaker (Isoprene)	Drum (Isoprene)	Chemical Vat (Isoprene)	Bag (Scandium)	Sack (Scandium)	Powder Keg (Scandium)	Chemical Silo (Scandium)	Bag (Liquid Crystal Polymer Pellets)	Sack (Liquid Crystal Polymer Pellets)	Powder Keg (Liquid Crystal Polymer Pellets)	Chemical Silo (Liquid Crystal Polymer Pellets)	Block (LCP)	Slab (LCP)	Stairs (LCP)	0	Mold (Plastic Brick (3 x 4))	Fibers (Alkyd Resin)	Mask (Pressure Sensor)(PR Dielectric)	Wafer (Pressure Sensor) (2 of 5)	0	DNA Sampler (Person)	Cell Culture Dish (Person)	Stainless Steel Sallet	Stainless Steel Bevor	Stainless Steel Shynbalds	Stainless Steel Sabatons	 Hoe	 Spade	 Pickaxe	 Axe	 Sword	Solar Array	Gripped Wooden Hoe	0	Regulator (Medium Pressure)	0	Diamond Sword	Glass
118	Powder Keg (Pellets)	Potash Ore	Tungsten Carbide Ingot	Tungsten Carbide Nugget	Block of Potash	Calcium Hydride Catalyst	Vial (Lignin)	Flask (Propane)	Vial (2-Propanol)	Beaker (2-Propanol)	Drum (2-Propanol)	Chemical Vat (2-Propanol)	Vial (Epichlorohydrin)	Beaker (Epichlorohydrin)	Drum (Epichlorohydrin)	Chemical Vat (Epichlorohydrin)	Bag (Titanium)	Sack (Titanium)	Powder Keg (Titanium)	Chemical Silo (Titanium)	Bag (Low Density PolyEthylene Pellets)	Sack (Low Density PolyEthylene Pellets)	Powder Keg (Low Density PolyEthylene Pellets)	Chemical Silo (Low Density PolyEthylene Pellets)	Block (LDPE)	Slab (LDPE)	Stairs (LDPE)	0	Mold (Plastic Brick (4 x 4))	Fibers (A-PET)	Mask (Pressure Sensor)(PR Traces)	Wafer (Pressure Sensor) (3 of 5)	0	DNA sampler (Beginner)	0	Brass Bassinet	Brass Brigandine	Brass Chausses	Brass Solleret	 Hoe	 Spade	 Pickaxe	 Axe	 Sword	Contact Printer	Gripped Stone Hoe	0	Regulator (High Pressure)	0	Diamond Shovel	Lapis Ore
118	Chemical Silo (Pellets)	Tin Ore	Nichrome Ingot	Nichrome Nugget	Block of Chrome	Phosphorus Pentoxide Catalyst	Bag (Linear Low-Density PolyEthylene Pellets)	Cartridge (Propane)	Vial (2-Propoxyethanol)	Beaker (2-Propoxyethanol)	Drum (2-Propoxyethanol)	Chemical Vat (2-Propoxyethanol)	Vial (Isopropanol)	Beaker (Isopropanol)	Drum (Isopropanol)	Chemical Vat (Isopropanol)	Bag (Vanadium)	Sack (Vanadium)	Powder Keg (Vanadium)	Chemical Silo (Vanadium)	Bag (Medium Density PolyEthylene Pellets)	Sack (Medium Density PolyEthylene Pellets)	Powder Keg (Medium Density PolyEthylene Pellets)	Chemical Silo (Medium Density PolyEthylene Pellets)	Block (MDPE)	Slab (MDPE)	Stairs (MDPE)	0	Mold (Plastic Brick (1 x 8))	Fibers (BIIR)	Mask (Pressure Sensor)(PR Encapsulation)	Wafer (Pressure Sensor) (4 of 5)	0	DNA sampler (Intermediate)	0	Brazen Bassinet	Brazen Brigandine	Brazen Chausses	Brazen Solleret	 Hoe	 Spade	 Pickaxe	 Axe	 Sword	Trading House	Gripped Iron Hoe	0	Regulator (Extreme Pressure)	0	Diamond Pickaxe	Lapis Block
118	Polymer Block	Fluorite Ore	Antimony-Lead Ingot	Antimony-Lead Nugget	Block of Tungsten Carbide	Trimethyl Orthoformate Catalyst	Bag (Liquid Crystal Polymer Pellets)	Canister (Propane)	Vial (3-Hydroxybutanoic Acid)	Beaker (3-Hydroxybutanoic Acid)	Drum (3-Hydroxybutanoic Acid)	Chemical Vat (3-Hydroxybutanoic Acid)	Vial (Allyl Chloride)	Beaker (Allyl Chloride)	Drum (Allyl Chloride)	Chemical Vat (Allyl Chloride)	Bag (Chromium)	Sack (Chromium)	Powder Keg (Chromium)	Chemical Silo (Chromium)	Vial (Melamine-Formaldehyde Polymers)	Beaker (Melamine-Formaldehyde Polymers)	Drum (Melamine-Formaldehyde Polymers)	Chemical Vat (Melamine-Formaldehyde Polymers)	Block (MFP)	Slab (MFP)	Stairs (MFP)	0	Mold (Plastic Brick (2 x 8))	Fibers (Carbon Fiber)	Mask (Low Power Radio)(PR Backplane)	Wafer (Pressure Sensor)	0	DNA sampler (Advanced)	0	Tin Funnel	Tin Faulds	Tin Tassets	Tin Treadsoles	 Hoe	 Spade	 Pickaxe	 Axe	 Sword	Territory Flag	Gripped Diamond Hoe	0	Lighter	0	Diamond Axe	Dispenser
118	Polymer Slab	Silicon Ore	Silicon Ingot	Silicon Nugget	Block of Nichrome	Aluminoxane Catalyst	Bag (Low Density PolyEthylene Pellets)	Flask (Butane Isomers)	Vial (3-Hydroxypentanoic Acid)	Beaker (3-Hydroxypentanoic Acid)	Drum (3-Hydroxypentanoic Acid)	Chemical Vat (3-Hydroxypentanoic Acid)	Vial (Propylene Oxide)	Beaker (Propylene Oxide)	Drum (Propylene Oxide)	Chemical Vat (Propylene Oxide)	Bag (Manganese)	Sack (Manganese)	Powder Keg (Manganese)	Chemical Silo (Manganese)	Bag (Metaldehyde Pellets)	Sack (Metaldehyde Pellets)	Powder Keg (Metaldehyde Pellets)	Chemical Silo (Metaldehyde Pellets)	Block (MALD)	Slab (MALD)	Stairs (MALD)	0	Mold (Heated Knife Handle)	Fibers (CTAP)	Mask (Low Power Radio)(PR n-Type Semiconductor)	Wafer (Low Power Radio) (1 of 8)	0	DNA sampler (Expert)	0	Chrome Cervelliere	Chrome Culet	Chrome Chausses	Chrome Carbatines	 Hoe	 Spade	 Pickaxe	 Axe	 Sword	Printing Press	Gripped Golden Hoe	0	Membrane X	0	Stick	Sandstone
118	Polymer Stairs	Cinnabar	Mercury Sulfide Ingot	Mercury Sulfide Nugget	Block of Antimony-Lead	Sodium Hydroxide Catalyst	Bag (Medium Density PolyEthylene Pellets)	Cartridge (Butane Isomers)	Vial (3-MethylPentane)	Beaker (3-MethylPentane)	Drum (3-MethylPentane)	Chemical Vat (3-MethylPentane)	Vial (Propylene Glycol)	Beaker (Propylene Glycol)	Drum (Propylene Glycol)	Chemical Vat (Propylene Glycol)	Bag (Iron)	Sack (Iron)	Powder Keg (Iron)	Chemical Silo (Iron)	Bag (Nitrile-Butadiene Rubber Pellets)	Sack (Nitrile-Butadiene Rubber Pellets)	Powder Keg (Nitrile-Butadiene Rubber Pellets)	Chemical Silo (Nitrile-Butadiene Rubber Pellets)	Block (NBR)	Slab (NBR)	Stairs (NBR)	0	Mold (Rubber Sole)	Fibers (Cellulose)	Mask (Low Power Radio)(PR p-Type Semiconductor)	Wafer (Low Power Radio) (2 of 8)	0	DNA sampler (Nether)	0	WC Burgonet	WC Faulds	WC Tassets	WC Sabatons	 Hoe	 Spade	 Pickaxe	 Axe	 Sword	CHEM2323	'[2]Gripped Tools'!#REF!	0	Membrane O	0	Bowl	Noteblock
12	Brick	0	0	0	Block of Fluorite	Triethylaluminium Catalyst	Vial (Melamine-Formaldehyde Polymers)	Canister (Butane Isomers)	Vial (4-Hydroxybenzoic Acid)	Beaker (4-Hydroxybenzoic Acid)	Drum (4-Hydroxybenzoic Acid)	Chemical Vat (4-Hydroxybenzoic Acid)	Vial (Cumene)	Beaker (Cumene)	Drum (Cumene)	Chemical Vat (Cumene)	Bag (Cobalt)	Sack (Cobalt)	Powder Keg (Cobalt)	Chemical Silo (Cobalt)	Bag (Paraformaldehyde Pellets)	Sack (Paraformaldehyde Pellets)	Powder Keg (Paraformaldehyde Pellets)	Chemical Silo (Paraformaldehyde Pellets)	Block (PFA)	Slab (PFA)	Stairs (PFA)	0	Mold (Battery Case)	Fibers (Chitin)	Mask (Low Power Radio)(PR Dielectric)	Wafer (Low Power Radio) (3 of 8)	0	0	0	Nichrome Wire Coif	Nichrome Wire Hauberk	Nichrome Wiry Knot Leggings	Nichrome Wiry Knot Boots	 Hoe	 Spade	 Pickaxe	 Axe	 Sword	Computer	'[2]Gripped Tools'!#REF!	0	Separation Membrane	0	Mushroom Stew	Bed
33	Mold	0	0	0	Block of Silicon	Methyl Ethyl Ketone Peroxide Catalyst	Bag (Metaldehyde Pellets)	Vial (Pentane Isomers)	Vial (6-Hydroxynaphthalene-2-Carboxylic Acid)	Beaker (6-Hydroxynaphthalene-2-Carboxylic Acid)	Drum (6-Hydroxynaphthalene-2-Carboxylic Acid)	Chemical Vat (6-Hydroxynaphthalene-2-Carboxylic Acid)	Vial (Chlorobenzene)	Beaker (Chlorobenzene)	Drum (Chlorobenzene)	Chemical Vat (Chlorobenzene)	Bag (Nickel)	Sack (Nickel)	Powder Keg (Nickel)	Chemical Silo (Nickel)	Bag (Paraldehyde Pellets)	Sack (Paraldehyde Pellets)	Powder Keg (Paraldehyde Pellets)	Chemical Silo (Paraldehyde Pellets)	Block (PALD)	Slab (PALD)	Stairs (PALD)	0	Mold (Tool Shaft)	Fibers (CIIR)	Mask (Low Power Radio)(PR Inner Traces)	Wafer (Low Power Radio) (4 of 8)	0	0	0	SuperB Alloy Barbute	SuperB Alloy Plackart	SuperB Alloy Lames	SuperB Alloy Batts	 Hoe	 Spade	 Pickaxe	 Axe	 Sword	Hospital	'[2]Gripped Tools'!#REF!	0	Trampoline	0	Golden Sword	Golden Rail
154	Molded Item	0	0	0	Block of Cinnabar	Chromia Alumina Catalyst	Bag (Nitrile-Butadiene Rubber Pellets)	Beaker (Pentane Isomers)	Vial (Acetaldehyde)	Beaker (Acetaldehyde)	Drum (Acetaldehyde)	Chemical Vat (Acetaldehyde)	Bag (4-Nitrochlorobenzene)	Sack (4-Nitrochlorobenzene)	Powder Keg (4-Nitrochlorobenzene)	Chemical Silo (4-Nitrochlorobenzene)	Bag (Copper)	Sack (Copper)	Powder Keg (Copper)	Chemical Silo (Copper)	Vial (Phenolic Resin)	Beaker (Phenolic Resin)	Drum (Phenolic Resin)	Chemical Vat (Phenolic Resin)	Block (Phenol Formaldehydes)	Slab (Phenol Formaldehydes)	Stairs (Phenol Formaldehydes)	0	Mold (Lighter Body)	Fibers (Epoxy Resin)	Mask (Low Power Radio)(PR Through Vias)	Wafer (Low Power Radio) (5 of 8)	0	0	0	Carbon Fiber Cervelliere	Carbon Fiber Culet	Carbon Fiber Chausses	Carbon Fiber Carbatines	 Hoe	 Spade	 Pickaxe	 Axe	 Sword	Fluorescent Lamp	'[2]Gripped Tools'!#REF!	0	Gas Mantle	0	Golden Shovel	Detector Rail
54	Mask	0	0	0	0	Tin Catalyst	Bag (Paraformaldehyde Pellets)	Drum (Pentane Isomers)	Vial (Acetic Acid)	Beaker (Acetic Acid)	Drum (Acetic Acid)	Chemical Vat (Acetic Acid)	Bag (p-Phenylenediamine)	Sack (p-Phenylenediamine)	Powder Keg (p-Phenylenediamine)	Chemical Silo (p-Phenylenediamine)	Bag (Zinc)	Sack (Zinc)	Powder Keg (Zinc)	Chemical Silo (Zinc)	Bag (Poly(3-Hydroxybutyrate-Co-3-Hydroxyvalerate) Pellets)	Sack (Poly(3-Hydroxybutyrate-Co-3-Hydroxyvalerate) Pellets)	Powder Keg (Poly(3-Hydroxybutyrate-Co-3-Hydroxyvalerate) Pellets)	Chemical Silo (Poly(3-Hydroxybutyrate-Co-3-Hydroxyvalerate) Pellets)	Block (PHBV)	Slab (PHBV)	Stairs (PHBV)	0	Mold (Cell Phone Case)	Fibers (NRE)	Mask (Low Power Radio)(PR Outer Traces)	Wafer (Low Power Radio) (6 of 8)	0	0	0	Chitin Skull Cap	Chitin Skeleton Vest	Chitin Skelton Pants	Chitin Skeleton Feet	 Hoe	 Spade	 Pickaxe	 Axe	 Sword	Tier Chest	'[2]Gripped Tools'!#REF!	0	Heat Exchanger	0	Golden Pickaxe	Sticky Piston
55	Wafer	0	0	0	0	Zinc Nitrate Catalyst	Bag (Paraldehyde Pellets)	Vial (Hexane Isomers)	Vial (Acetone)	Beaker (Acetone)	Drum (Acetone)	Chemical Vat (Acetone)	Vial (Nitric Acid)	Beaker (Nitric Acid)	Drum (Nitric Acid)	Chemical Vat (Nitric Acid)	Bag (Gallium)	Sack (Gallium)	Powder Keg (Gallium)	Chemical Silo (Gallium)	Bag (Poly1-Butene Pellets)	Sack (Poly1-Butene Pellets)	Powder Keg (Poly1-Butene Pellets)	Chemical Silo (Poly1-Butene Pellets)	Block (P1B)	Slab (P1B)	Stairs (P1B)	0	Mold (Walky Talky Case)	Fibers (EPM)	Mask (Low Power Radio)(PR Encapsulation)	Wafer (Low Power Radio) (7 of 8)	0	0	0	Acrylic Tamoshanter	Acrylic Sweater	Acrylic Khakis	Acrylic Shoes	 Hoe	 Spade	 Pickaxe	 Axe	 Sword	Text Wall	'[2]Gripped Tools'!#REF!	0	Heat Fins	0	Golden Axe	Web
