Version	Block Game ID	Item Game ID	Wall	Source	Version	Bounce Height
1.0.0	Uf	W5	Wall (PEEK)	Block (PEEK)	PEEK	0
1.0.0	Ug	W6	Wall (PEI)	Block (PEI)	PEI	0
0	Uh	W7	Wall (PEA)	Block (PEA)	PEA	0
0	Ui	W8	Wall (PEAd)	Block (PEAd)	PEAd	0
1.0.0	Uj	W9	Wall (PEG)	Block (PEG)	PEG	0
0	Uk	Wa	Wall (PEHD)	Block (PEHD)	PEHD	0
1.0.0	Ul	Wb	Wall (PEN)	Block (PEN)	PEN	0
1.0.0	Um	Wc	Wall (PEO)	Block (PEO)	PEO	0
1.1.0	Un	Wd	Wall (PES)	Block (PES)	PES	0
1.0.0	Uo	We	Wall (PET)	Block (PET)	PET	0
1.0.0	Up	Wf	Wall (PETG)	Block (PETG)	PETG	0
1.0.0	Uq	Wg	Wall (PGA)	Block (PGA)	PGA	0
1.1.0	Ur	Wh	"Wall (Nylon 6,7)"	"Block (Nylon 6,7)"	"Nylon 6,7"	0
1.1.0	Us	Wi	"Wall (Nylon 6,10)"	"Block (Nylon 6,10)"	"Nylon 6,10"	0
1.0.0	Ut	Wj	Wall (PHA)	Block (PHA)	PHA	0
0	Uu	Wk	Wall (PHBV)	Block (PHBV)	PHBV	0
1.0.0	Uv	Wl	Wall (PI)	Block (PI)	PI	0
0	Uw	Wm	Wall (PIBOA)	Block (PIBOA)	PIBOA	0
0	Ux	Wn	Wall (PIBA)	Block (PIBA)	PIBA	0
1.0.0	Uy	Wo	Wall (PIB)	Block (PIB)	PIB	0
1.0.0	Uz	Wp	Wall (Natural Rubber)	Block (Natural Rubber)	Natural Rubber	3
1.0.0	UA	Wq	Wall (PLA)	Block (PLA)	PLA	0
0	UB	Wr	Wall (PLGA)	Block (PLGA)	PLGA	0
1.3.2	UC	Ws	Wall (PMA)	Block (PMA)	PMA	0
0	UD	Wt	Wall (PMCA)	Block (PMCA)	PMCA	0
1.3.2	UE	Wu	Wall (PMMA)	Block (PMMA)	PMMA	0
1.3.2	UF	Wv	Wall (PMMS)	Block (PMMS)	PMMS	0
1.1.1	UG	Ww	Wall (nomex)	Block (nomex)	nomex	0
0	UH	Wx	Wall (PNBA)	Block (PNBA)	PNBA	0
1.0.0	UI	Wy	Wall (POM)	Block (POM)	POM	0
0	UJ	Wz	Wall (PPHD)	Block (PPHD)	PPHD	0
1.3.2	UK	WA	Wall (Polyphenol)	Block (Polyphenol)	Polyphenol	0
0	UL	WB	Wall (PPO)	Block (PPO)	PPO	0
0	UM	WC	Wall (PPPHAZ)	Block (PPPHAZ)	PPPHAZ	0
0	UN	WD	Wall (PPMS)	Block (PPMS)	PPMS	0
0	UO	WE	Wall (PPS)	Block (PPS)	PPS	0
1.1.0	UP	WF	Wall (kevlar)	Block (kevlar)	kevlar	0
1.0.0	UQ	WG	Wall (PP)	Block (PP)	PP	0
0	UR	WH	Wall (PPG)	Block (PPG)	PPG	0
0	US	WI	Wall (PPOX)	Block (PPOX)	PPOX	0
1.0.0	UT	WJ	Wall (PS)	Block (PS)	PS	0
0	UU	WK	Wall (PTBA)	Block (PTBA)	PTBA	0
1.0.0	UV	WL	Wall (PTFE)	Block (PTFE)	PTFE	0
0	UW	WM	Wall (PTMEG)	Block (PTMEG)	PTMEG	0
0	UX	WN	Wall (PTMG)	Block (PTMG)	PTMG	0
0	UY	WO	Wall (PTA)	Block (PTA)	PTA	0
1.0.0	UZ	WP	Wall (PTT)	Block (PTT)	PTT	0
1.0.0	V0	WQ	Wall (PU)	Block (PU)	PU	9
1.0.0	V1	WR	Wall (PVAC)	Block (PVAC)	PVAC	0
1.0.0	V2	WS	Wall (PVA)	Block (PVA)	PVA	0
0	V3	WT	Wall (PVB)	Block (PVB)	PVB	0
1.0.0	V4	WU	Wall (PVC)	Block (PVC)	PVC	0
1.0.0	V5	WV	Wall (PVCA)	Block (PVCA)	PVCA	0
0	V6	WW	Wall (PVF)	Block (PVF)	PVF	0
0	V7	WX	Wall (PVFO)	Block (PVFO)	PVFO	0
0	V8	WY	Wall (PVME)	Block (PVME)	PVME	0
0	V9	WZ	Wall (PVDC)	Block (PVDC)	PVDC	0
0	Va	X0	Wall (PVDF)	Block (PVDF)	PVDF	0
0	Vb	X1	Wall (PVDF-TRFE)	Block (PVDF-TRFE)	PVDF-TRFE	0
1.1.0	Vc	X2	Wall (SAN)	Block (SAN)	SAN	0
1.0.0	Vd	X3	Wall (SBR)	Block (SBR)	SBR	6
1.1.0	Ve	X4	Wall (SBS)	Block (SBS)	SBS	0
1.3.2	Vf	X5	Wall (SIS)	Block (SIS)	SIS	0
0	Vg	X6	Wall (SMAC)	Block (SMAC)	SMAC	0
1.0.0	Vh	X7	Wall (UHMWPE)	Block (UHMWPE)	UHMWPE	0
0	Vi	X8	Wall (UFP)	Block (UFP)	UFP	0
1.0.0	Vj	X9	Wall (VLDPE)	Block (VLDPE)	VLDPE	0
1.0.0	Vk	Xa	Wall (VA/AA)	Block (VA/AA)	VA/AA	0
1.1.0	2I	2J	Wall (Nylon 6)	Block (Nylon 6)	Nylon 6	0
1.1.2	1br	1bt	Wall (Carbon Fiber Resin (E))	Block (Carbon Fiber Resin (E))	Carbon Fiber Resin (E)	0
1.1.2	1bs	1bu	Wall (Carbon Fiber Resin (P))	Block (Carbon Fiber Resin (P))	Carbon Fiber Resin (P)	0
1.3.2	1cT	1dV	Wall (n-PR)	Block (n-PR)	n-PR	0
1.3.2	1cU	1dW	Wall (p-PR)	Block (p-PR)	p-PR	0
	1cV	1dX	#N/A	0	#N/A	0
	1cW	1dY	#N/A	0	#N/A	0
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
