Version	Minecraft Item			Item (MC)				
1.0.0	Paper	paper	paper	paper	339	153	minecraft:paper	Paper
1.0.0	Book	book	book	book	340	154	minecraft:book	Book
1.0.0	Slime Ball	slime ball	slime ball	slime_ball	341	155	minecraft:slime_ball	Slimeball
1.0.0	Chest Minecart	chest minecart	chest minecart	chest_minecart	342	156	minecraft:chest_minecart	Minecart with Chest
1.0.0	Furnace Minecart	furnace minecart	furnace minecart	furnace_minecart	343	157	minecraft:furnace_minecart	Minecart with Furnace
1.0.0	Egg	egg	egg	egg	344	158	minecraft:egg	Egg
1.0.0	Compass	compass	compass	compass	345	159	minecraft:compass	Compass
1.0.0	Fishing Rod	fishing rod	fishing rod	fishing_rod	346	15A	minecraft:fishing_rod	Fishing Rod D
1.0.0	Clock	clock	clock	clock	347	15B	minecraft:clock	Clock
1.0.0	Glowstone Dust	glowstone dust	glowstone dust	glowstone_dust	348	15C	minecraft:glowstone_dust	Glowstone Dust
1.0.0	Fish	fish	fish	fish	349	15D	minecraft:fish	Raw Fish B
1.0.0	Cooked Fish	cooked fish	cooked fish	cooked_fish	350	15E	minecraft:cooked_fish	Cooked Fish B
1.0.0	Dye	dye	dye	dye	351	15F	minecraft:dye	Dye B
1.0.0	Bone	bone	bone	bone	352	160	minecraft:bone	Bone
1.0.0	Sugar	sugar	sugar	sugar	353	161	minecraft:sugar	Sugar
1.0.0	Cake	cake	cake	cake	354	162	minecraft:cake	Cake
1.0.0	Bed	bed	bed	bed	355	163	minecraft:bed	Bed
1.0.0	Repeater	repeater	repeater	repeater	356	164	minecraft:repeater	Redstone Repeater
1.0.0	Cookie	cookie	cookie	cookie	357	165	minecraft:cookie	Cookie
1.0.0	Filled Map	filled map	filled map	filled_map	358	166	minecraft:filled_map	Map B
1.0.0	Shears	shears	shears	shears	359	167	minecraft:shears	Shears D
1.0.0	Melon	melon	melon	melon	360	168	minecraft:melon	Melon
1.0.0	Pumpkin Seeds	pumpkin seeds	pumpkin seeds	pumpkin_seeds	361	169	minecraft:pumpkin_seeds	Pumpkin Seeds
1.0.0	Melon Seeds	melon seeds	melon seeds	melon_seeds	362	16A	minecraft:melon_seeds	Melon Seeds
1.0.0	Beef	beef	beef	beef	363	16B	minecraft:beef	Raw Beef
1.0.0	Cooked Beef	cooked beef	cooked beef	cooked_beef	364	16C	minecraft:cooked_beef	Steak
1.0.0	Chicken	chicken	chicken	chicken	365	16D	minecraft:chicken	Raw Chicken
1.0.0	Cooked Chicken	cooked chicken	cooked chicken	cooked_chicken	366	16E	minecraft:cooked_chicken	Cooked Chicken
1.0.0	Rotten Flesh	rotten flesh	rotten flesh	rotten_flesh	367	16F	minecraft:rotten_flesh	Rotten Flesh
1.0.0	Ender Pearl	ender pearl	ender pearl	ender_pearl	368	170	minecraft:ender_pearl	Ender Pearl
1.0.0	Blaze Rod	blaze rod	blaze rod	blaze_rod	369	171	minecraft:blaze_rod	Blaze Rod
1.0.0	Ghast Tear	ghast tear	ghast tear	ghast_tear	370	172	minecraft:ghast_tear	Ghast Tear
1.0.0	Gold Nugget	gold nugget	gold nugget	gold_nugget	371	173	minecraft:gold_nugget	Gold Nugget
1.0.0	Nether Wart	nether wart	nether wart	nether_wart	372	174	minecraft:nether_wart	Nether Wart
1.0.0	Potion	potion	potion	potion	373	175	minecraft:potion	Potions B
1.0.0	Glass Bottle	glass bottle	glass bottle	glass_bottle	374	176	minecraft:glass_bottle	Glass Bottle
1.0.0	Spider Eye	spider eye	spider eye	spider_eye	375	177	minecraft:spider_eye	Spider Eye
1.0.0	Fermented Spider Eye	fermented spider eye	fermented spider_eye	fermented_spider_eye	376	178	minecraft:fermented_spider_eye	Fermented Spider Eye
1.0.0	Blaze Powder	blaze powder	blaze powder	blaze_powder	377	179	minecraft:blaze_powder	Blaze Powder
1.0.0	Magma Cream	magma cream	magma cream	magma_cream	378	17A	minecraft:magma_cream	Magma Cream
1.0.0	Brewing Stand	brewing stand	brewing stand	brewing_stand	379	17B	minecraft:brewing_stand	Brewing Stand
1.0.0	Cauldron	cauldron	cauldron	cauldron	380	17C	minecraft:cauldron	Cauldron
1.0.0	Ender Eye	ender eye	ender eye	ender_eye	381	17D	minecraft:ender_eye	Eye of Ender
1.0.0	Speckled Melon	speckled melon	speckled melon	speckled_melon	382	17E	minecraft:speckled_melon	Glistering Melon
1.0.0	Spawn Egg	spawn egg	spawn egg	spawn_egg	383	17F	minecraft:spawn_egg	Spawn Egg B
1.0.0	Experience Bottle	experience bottle	experience bottle	experience_bottle	384	180	minecraft:experience_bottle	Bottle o' Enchanting
1.0.0	Fire Charge	fire charge	fire charge	fire_charge	385	181	minecraft:fire_charge	Fire Charge
1.0.0	Writable Book	writable book	writable book	writable_book	386	182	minecraft:writable_book	Book and Quill
1.0.0	Written Book	written book	written book	written_book	387	183	minecraft:written_book	Written Book
1.0.0	Emerald	emerald	emerald	emerald	388	184	minecraft:emerald	Emerald
1.0.0	Item Frame	item frame	item frame	item_frame	389	185	minecraft:item_frame	Item Frame
1.0.0	Flower Pot	flower pot	flower pot	flower_pot	390	186	minecraft:flower_pot	Flower Pot
1.0.0	Carrot	carrot	carrot	carrot	391	187	minecraft:carrot	Carrot
1.0.0	Potato	potato	potato	potato	392	188	minecraft:potato	Potato
1.0.0	Baked Potato	baked potato	baked potato	baked_potato	393	189	minecraft:baked_potato	Baked Potato
1.0.0	Poisonous Potato	poisonous potato	poisonous potato	poisonous_potato	394	18A	minecraft:poisonous_potato	Poisonous Potato
1.0.0	Map	map	map	map	395	18B	minecraft:map	Empty Map
1.0.0	Golden Carrot	golden carrot	golden carrot	golden_carrot	396	18C	minecraft:golden_carrot	Golden Carrot
1.0.0	Skull	skull	skull	skull	397	18D	minecraft:skull	Mob head B
1.0.0	Carrot On A Stick	carrot on a_stick	carrot on_a_stick	carrot_on_a_stick	398	18E	minecraft:carrot_on_a_stick	Carrot on a Stick D
1.0.0	Nether Star	nether star	nether star	nether_star	399	18F	minecraft:nether_star	Nether Star
1.0.0	Pumpkin Pie	pumpkin pie	pumpkin pie	pumpkin_pie	400	190	minecraft:pumpkin_pie	Pumpkin Pie
1.0.0	Fireworks	fireworks	fireworks	fireworks	401	191	minecraft:fireworks	Firework Rocket
1.0.0	Firework Charge	firework charge	firework charge	firework_charge	402	192	minecraft:firework_charge	Firework Star
1.0.0	Enchanted Book	enchanted book	enchanted book	enchanted_book	403	193	minecraft:enchanted_book	Enchanted Book
1.0.0	Comparator	comparator	comparator	comparator	404	194	minecraft:comparator	Redstone Comparator
1.0.0	Netherbrick	netherbrick	netherbrick	netherbrick	405	195	minecraft:netherbrick	Nether Brick
1.0.0	Quartz	quartz	quartz	quartz	406	196	minecraft:quartz	Nether Quartz
1.0.0	Tnt Minecart	tnt minecart	tnt minecart	tnt_minecart	407	197	minecraft:tnt_minecart	Minecart with TNT
1.0.0	Hopper Minecart	hopper minecart	hopper minecart	hopper_minecart	408	198	minecraft:hopper_minecart	Minecart with Hopper
	0	0	0	0	409	199		(unused)
	0	0	0	0	410	19A		(unused)
	0	0	0	0	411	19B		(unused)
	0	0	0	0	412	19C		(unused)
	0	0	0	0	413	19D		(unused)
	0	0	0	0	414	19E		(unused)
	0	0	0	0	415	19F		(unused)
	0	0	0	0	416	1A0		(unused)
1.0.0	Iron Horse Armor	iron horse armor	iron horse_armor	iron_horse_armor	417	1A1	minecraft:iron_horse_armor	Iron Horse Armor
1.0.0	Golden Horse Armor	golden horse armor	golden horse_armor	golden_horse_armor	418	1A2	minecraft:golden_horse_armor	Gold Horse Armor
1.0.0	Diamond Horse Armor	diamond horse armor	diamond horse_armor	diamond_horse_armor	419	1A3	minecraft:diamond_horse_armor	Diamond Horse Armor
1.0.0	Lead	lead	lead	lead	420	1A4	minecraft:lead	Lead
1.0.0	Name Tag	name tag	name tag	name_tag	421	1A5	minecraft:name_tag	Name Tag
1.0.0	Command Block Minecart	command block minecart	command block_minecart	command_block_minecart	422	1A6	minecraft:command_block_minecart	Minecart with Command Block
	0	0	0	0	423	1A7		(unused)
	0	0	0	0	424	1A8		(unused)
	0	0	0	0	425	1A9		(unused)
	0	0	0	0	426	1AA		(unused)
	0	0	0	0	427	1AB		(unused)
	0	0	0	0	428	1AC		(unused)
	0	0	0	0	429	1AD		(unused)
	0	0	0	0	430	1AE		(unused)
	0	0	0	0	431	1AF		(unused)
1.0.0	Record 13	record 13	record 13	record_13	2256	8D0	minecraft:record_13	13 Disc
1.0.0	Record Cat	record cat	record cat	record_cat	2257	8D1	minecraft:record_cat	cat Disc
1.0.0	Record Blocks	record blocks	record blocks	record_blocks	2258	8D2	minecraft:record_blocks	blocks Disc
1.0.0	Record Chirp	record chirp	record chirp	record_chirp	2259	8D3	minecraft:record_chirp	chirp Disc
1.0.0	Record Far	record far	record far	record_far	2260	8D4	minecraft:record_far	far Disc
1.0.0	Record Mall	record mall	record mall	record_mall	2261	8D5	minecraft:record_mall	mall Disc
1.0.0	Record Mellohi	record mellohi	record mellohi	record_mellohi	2262	8D6	minecraft:record_mellohi	mellohi Disc
1.0.0	Record Stal	record stal	record stal	record_stal	2263	8D7	minecraft:record_stal	stal Disc
1.0.0	Record Strad	record strad	record strad	record_strad	2264	8D8	minecraft:record_strad	strad Disc
1.0.0	Record Ward	record ward	record ward	record_ward	2265	8D9	minecraft:record_ward	ward Disc
1.0.0	Record 11	record 11	record 11	record_11	2266	8DA	minecraft:record_11	11 Disc
1.0.0	Record Wait	record wait	record wait	record_wait	2267	8DB	minecraft:record_wait	wait Disc
	0	0	0	0	2268	8DC		(unused)
	0	0	0	0	2269	8DD		(unused)
	0	0	0	0	2270	8DE		(unused)
	0	0	0	0	2271	8DF		(unused)
