Version	Element	Symbol	State	Atomic_Number	Group	Period	Atomic_Weight	Density	Melt	Boil	Heat	Electronegativity	Abundance
1.0.0	Niobium	Nb	Solid	41	5	5	92.9063799999999	8.57	2750	5017	0.265	1.6	20
1.0.0	Molybdenum	Mo	Solid	42	6	5	95.96	10.22	2896	4912	0.251	2.16	1.2
1.0.0	Technetium	Tc	Solid	43	7	5	981	11.5	2430	4538	0	1.9	0.001
1.0.0	Ruthenium	Ru	Solid	44	8	5	101.072	12.37	2607	4423	0.237999999999999	2.2	0.001
1.0.0	Rhodium	Rh	Solid	45	9	5	102.905502	12.41	2237	3968	0.242999999999999	2.27999999999999	0.001
1.0.0	Palladium	Pd	Solid	46	10	5	106.421	12.02	1828.05	3236	0.243999999999999	2.2	0.0149999999999999
1.0.0	Silver	Ag	Solid	47	11	5	107.868219999999	10.5009999999999	1234.93	2435	0.234999999999999	1.93	0.0749999999999999
1.0.0	Cadmium	Cd	Solid	48	12	5	112.4118	8.69	594.22	1040	0.232	1.69	0.159
1.0.0	Indium	In	Solid	49	13	5	114.8181	7.31	429.75	2345	0.233	1.78	0.25
1.0.0	Tin	Sn	Solid	50	14	5	118.7107	7.28699999999999	505.08	2875	0.228	1.96	2.29999999999999
1.0.0	Antimony	Sb	Solid	51	15	5	121.760099999999	6.68499999999999	903.78	1860	0.206999999999999	2.04999999999999	0.2
1.0.0	Tellurium	Te	Solid	52	16	5	127.602999999999	6.232	722.66	1261	0.202	2.1	0.001
1.0.0	Iodine	I	Solid	53	17	5	126.904473	4.93	386.85	457.4	0.214	2.66	0.45
1.0.0	Xenon	Xe	Gas	54	18	5	131.2936	0.00588699999999999	161.4	165.03	0.158	2.6	0.001
1.0.0	Caesium	Cs	Solid	55	1	6	132.905451919999	1.873	301.589999999999	944	0.241999999999999	0.79	3
1.0.0	Barium	Ba	Solid	56	2	6	137.327699999999	3.59399999999999	1000	2170	0.203999999999999	0.89	425
1.0.0	Lanthanum	La	Solid	57	0	6	138.905476999999	6.14499999999999	1193	3737	0.195	1.1	39
1.0.0	Cerium	Ce	Solid	58	0	6	140.116099999999	6.77	1068	3716	0.192	1.12	66.5
1.0.0	Praseodymium	Pr	Solid	59	0	6	140.907652	6.77299999999999	1208	3793	0.193	1.12999999999999	9.19999999999999
1.0.0	Neodymium	Nd	Solid	60	0	6	144.2423	7.00699999999999	1297	3347	0.19	1.13999999999999	41.5
1.0.0	Promethium	Pm	Solid	61	0	6	145	7.26	1315	3273	0	1.12999999999999	0.001
1.0.0	Samarium	Sm	Solid	62	0	6	150.361999999999	7.52	1345	2067	0.197	1.17	7.05
1.0.0	Europium	Eu	Solid	63	0	6	151.9641	5.243	1099	1802	0.182	1.2	2
1.0.0	Gadolinium	Gd	Solid	64	0	6	157.252999999999	7.89499999999999	1585	3546	0.235999999999999	1.2	6.2
1.0.0	Terbium	Tb	Solid	65	0	6	158.925352	8.22899999999999	1629	3503	0.182	1.2	1.2
1.0.0	Dysprosium	Dy	Solid	66	0	6	162.5001	8.55	1680	2840	0.17	1.22	5.2
1.0.0	Holmium	Ho	Solid	67	0	6	164.930321999999	8.79499999999999	1734	2993	0.165	1.23	1.3
1.0.0	Erbium	Er	Solid	68	0	6	167.2593	9.066	1802	3141	0.168	1.24	3.5
1.0.0	Thulium	Tm	Solid	69	0	6	168.934212	9.32099999999999	1818	2223	0.16	1.25	0.52
1.0.0	Ytterbium	Yb	Solid	70	0	6	173.054499999999	6.96499999999999	1097	1469	0.155	1.1	3.2
1.0.0	Lutetium	Lu	Solid	71	3	6	174.96681	9.84	1925	3675	0.154	1.27	0.8
1.0.0	Hafnium	Hf	Solid	72	4	6	178.491999999999	13.31	2506	4876	0.143999999999999	1.3	3
1.0.0	Tantalum	Ta	Solid	73	5	6	180.947881999999	16.654	3290	5731	0.14	1.5	2
1.0.0	Tungsten	W	Solid	74	6	6	183.841	19.25	3695	5828	0.132	2.36	1.3
1.0.0	Rhenium	Re	Solid	75	7	6	186.2071	21.02	3459	5869	0.137	1.9	0.001
1.0.0	Osmium	Os	Solid	76	8	6	190.233	22.61	3306	5285	0.13	2.2	0.002
1.0.0	Iridium	Ir	Solid	77	9	6	192.217299999999	22.56	2719	4701	0.131	2.2	0.001
1.0.0	Platinum	Pt	Solid	78	10	6	195.0849	21.46	2041.4	4098	0.133	2.27999999999999	0.005
1.0.0	Gold	Au	Solid	79	11	6	196.9665694	19.282	1337.33	3129	0.129	2.54	0.004
1.0.0	Mercury	Hg	Liquid	80	12	6	200.592299999999	13.5336	234.43	629.88	0.14	2	0.085
1.0.0	Thallium	Tl	Solid	81	13	6	204.389	11.85	577	1746	0.129	1.62	0.85
1.0.0	Plumbum (Lead)	Pb	Solid	82	14	6	207.21	11.342	600.61	2022	0.129	1.87	14
1.0.0	Bismuth	Bi	Solid	83	15	6	208.980401	9.807	544.7	1837	0.122	2.02	0.00899999999999999
1.0.0	Polonium	Po	Solid	84	16	6	209	9.32	527	1235	0	2	0.001
1.0.0	Astatine	At	Solid	85	17	6	210	7	575	610	0	2.2	0.001
1.0.0	Radon	Rn	Gas	86	18	6	222	0.00973	202	211.3	0.094	2.2	0.001
1.0.0	Francium	Fr	Solid	87	1	7	223	1.87	300	950	0	0.7	0.001
1.0.0	Radium	Ra	Solid	88	2	7	226	5.5	973	2010	0.094	0.9	0.001
1.0.0	Actinium	Ac	Solid	89	0	7	227	10.07	1323	3471	0.12	1.1	0.001
1.0.0	Thorium	Th	Solid	90	0	7	232.038062	11.72	2115	5061	0.113	1.3	9.6
1.0.0	Protactinium	Pa	Solid	91	0	7	231.035881999999	15.37	1841	4300	0	1.5	0.001
1.0.0	Uranium	U	Solid	92	0	7	238.028912999999	18.95	1405.3	4404	0.116	1.38	2.7
1.0.0	Neptunium	Np	Solid	93	0	7	237	20.45	917	4273	0	1.36	0.001
1.0.0	Plutonium	Pu	Solid	94	0	7	244	19.84	912.5	3501	0	1.28	0.001
1.0.0	Americium	Am	Solid	95	0	7	243	13.69	1449	2880	0	1.12999999999999	0.001
1.0.0	Curium	Cm	Solid	96	0	7	247	13.51	1613	3383	0	1.28	0.001
1.0.0	Berkelium	Bk	Solid	97	0	7	247	14.79	1259	2900	0	1.3	0.001
1.0.0	Californium	Cf	Solid	98	0	7	251	15.1	1173	1743	0	1.3	0.001
1.0.0	Einsteinium	Es	Solid	99	0	7	252	8.84	1133	1269	0	1.3	0
1.0.0	Fermium	Fm	Solid	100	0	7	257	0	1125	0	0	1.3	0
1.0.0	Mendelevium	Md	Solid	101	0	7	258	0	1100	0	0	1.3	0
1.0.0	Nobelium	No	Solid	102	0	7	259	0	1100	0	0	1.3	0
1.0.0	Lawrencium	Lr	Solid	103	3	7	262	0	1900	0	0	1.3	0
1.0.0	Rutherfordium	Rf	Solid	104	4	7	267	23.2	2400	5800	0	0	0
1.0.0	Dubnium	Db	Solid	105	5	7	268	29.3	0	0	0	0	0
1.0.0	Seaborgium	Sg	Solid	106	6	7	269	35	0	0	0	0	0
1.0.0	Bohrium	Bh	Solid	107	7	7	270	37.1	0	0	0	0	0
1.0.0	Hassium	Hs	Solid	108	8	7	269	40.7	0	0	0	0	0
1.0.0	Meitnerium	Mt	Solid	109	9	7	278	37.4	0	0	0	0	0
1.0.0	Darmstadtium	Ds	Solid	110	10	7	281	34.7999999999999	0	0	0	0	0
1.0.0	Roentgenium	Rg	Solid	111	11	7	281	28.7	0	0	0	0	0
1.0.0	Copernicium	Cn	Solid	112	12	7	285	23.7	0	357	0	0	0
1.0.0	Ununtrium	Uut	Solid	113	13	7	286	16	700	1400	0	0	0
1.0.0	Flerovium	Fl	Solid	114	14	7	289	14	340	420	0	0	0
1.0.0	Ununpentium	Uup	Solid	115	15	7	288	13.5	700	1400	0	0	0
1.0.0	Livermorium	Lv	Solid	116	16	7	293	12.9	708.5	1085	0	0	0
1.0.0	Ununseptium	Uus	Solid	117	17	7	294	7.2	673	823	0	0	0
1.0.0	Ununoctium	Uuo	Solid	118	18	7	294	5	258	263	0	0	0
